method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.98 0 500 34.044 10.219 18 32
max_pca 2 0.98 0 500 22.134 5.733 12 21
max_pca 3 0.98 0 500 18.518 4.401 11 18
max_pca 5 0.98 0 500 15.096 3.195 10 15
max_pca 10 0.98 0 500 11.702 2.237 8 11
max_pca 20 0.98 0 500 9.43 1.814 6 9
min_pca 1 0.98 0 500 2.004 0.063 2 2
min_pca 2 0.98 0 500 2 0 2 2
min_pca 3 0.98 0 500 2 0 2 2
min_pca 5 0.98 0 500 2 0 2 2
min_pca 10 0.98 0 500 2 0 2 2
min_pca 20 0.98 0 500 2.002 0.045 2 2
tpca 0.8 0.98 0 500 2.004 0.063 2 2
tpca 0.9 0.98 0 500 2.004 0.063 2 2
tpca 0.95 0.98 0 500 2.004 0.063 2 2
tpca 0.99 0.98 0 500 2.004 0.063 2 2
tpca 0.995 0.98 0 500 2 0 2 2
tpca 0.999 0.98 0 500 2 0 2 2
max_pca 1 0.98 0.5 500 102.742 52.489 35.475 93.025
max_pca 2 0.98 0.5 500 53.456 17.106 27 51
max_pca 3 0.98 0.5 500 47.584 13.947 23 45
max_pca 5 0.98 0.5 500 37.566 10.079 21 37
max_pca 10 0.98 0.5 500 29.156 7.029 17 28
max_pca 20 0.98 0.5 500 24.416 6.127 14 24
min_pca 1 0.98 0.5 500 2.012 0.109 2 2
min_pca 2 0.98 0.5 500 2.002 0.045 2 2
min_pca 3 0.98 0.5 500 2 0 2 2
min_pca 5 0.98 0.5 500 2 0 2 2
min_pca 10 0.98 0.5 500 2.006 0.077 2 2
min_pca 20 0.98 0.5 500 2.184 0.388 2 2
tpca 0.8 0.98 0.5 500 2.012 0.109 2 2
tpca 0.9 0.98 0.5 500 2.012 0.109 2 2
tpca 0.95 0.98 0.5 500 2.012 0.109 2 2
tpca 0.99 0.98 0.5 500 2.012 0.109 2 2
tpca 0.995 0.98 0.5 500 2.002 0.045 2 2
tpca 0.999 0.98 0.5 500 2.002 0.045 2 2
max_pca 1 0.98 0.75 500 763.81 848.885 55.475 188
max_pca 2 0.98 0.75 500 94.436 35.486 37.95 89
max_pca 3 0.98 0.75 500 90.378 32.048 37 85
max_pca 5 0.98 0.75 500 68.046 21.363 31 66
max_pca 10 0.98 0.75 500 52.056 14.834 26 50
max_pca 20 0.98 0.75 500 47.014 12.833 25.475 45
min_pca 1 0.98 0.75 500 2.022 0.194 2 2
min_pca 2 0.98 0.75 500 2.008 0.109 2 2
min_pca 3 0.98 0.75 500 2.008 0.089 2 2
min_pca 5 0.98 0.75 500 2.006 0.077 2 2
min_pca 10 0.98 0.75 500 2.07 0.255 2 2
min_pca 20 0.98 0.75 500 2.856 0.394 2 3
tpca 0.8 0.98 0.75 500 2.022 0.194 2 2
tpca 0.9 0.98 0.75 500 2.022 0.194 2 2
tpca 0.95 0.98 0.75 500 2.022 0.194 2 2
tpca 0.99 0.98 0.75 500 2.022 0.194 2 2
tpca 0.995 0.98 0.75 500 2.008 0.109 2 2
tpca 0.999 0.98 0.75 500 2.008 0.109 2 2
max_pca 1 0.95 0 500 38.306 11.693 20 37
max_pca 2 0.95 0 500 24.604 6.59 14 24
max_pca 3 0.95 0 500 20.764 4.938 12 20
max_pca 5 0.95 0 500 16.624 3.516 10 16
max_pca 10 0.95 0 500 12.942 2.502 8 13
max_pca 20 0.95 0 500 10.422 2.09 6 10
min_pca 1 0.95 0 500 2.008 0.109 2 2
min_pca 2 0.95 0 500 2 0 2 2
min_pca 3 0.95 0 500 2 0 2 2
min_pca 5 0.95 0 500 2 0 2 2
min_pca 10 0.95 0 500 2 0 2 2
min_pca 20 0.95 0 500 2.004 0.063 2 2
tpca 0.8 0.95 0 500 2.008 0.109 2 2
tpca 0.9 0.95 0 500 2.008 0.109 2 2
tpca 0.95 0.95 0 500 2.008 0.109 2 2
tpca 0.99 0.95 0 500 2.008 0.109 2 2
tpca 0.995 0.95 0 500 2 0 2 2
tpca 0.999 0.95 0 500 2 0 2 2
max_pca 1 0.95 0.5 500 112.716 74.876 37 99
max_pca 2 0.95 0.5 500 57.652 19.355 29 54
max_pca 3 0.95 0.5 500 52.076 15.928 28 49
max_pca 5 0.95 0.5 500 40.45 10.704 23 39
max_pca 10 0.95 0.5 500 31.474 7.087 19 31
max_pca 20 0.95 0.5 500 27.096 6.856 16 26.025
min_pca 1 0.95 0.5 500 2.018 0.133 2 2
min_pca 2 0.95 0.5 500 2 0 2 2
min_pca 3 0.95 0.5 500 2 0 2 2
min_pca 5 0.95 0.5 500 2 0 2 2
min_pca 10 0.95 0.5 500 2.002 0.045 2 2
min_pca 20 0.95 0.5 500 2.25 0.433 2 2
tpca 0.8 0.95 0.5 500 2.018 0.133 2 2
tpca 0.9 0.95 0.5 500 2.018 0.133 2 2
tpca 0.95 0.95 0.5 500 2.018 0.133 2 2
tpca 0.99 0.95 0.5 500 2.018 0.133 2 2
tpca 0.995 0.95 0.5 500 2 0 2 2
tpca 0.999 0.95 0.5 500 2 0 2 2
max_pca 1 0.95 0.75 500 732.34 829.281 57.85 194
max_pca 2 0.95 0.75 500 92.678 35.219 36 87
max_pca 3 0.95 0.75 500 88.932 34.354 35 83
max_pca 5 0.95 0.75 500 68.692 21.807 31.475 66
max_pca 10 0.95 0.75 500 54.238 16.047 27 52
max_pca 20 0.95 0.75 500 49.084 14.45 24.475 47
min_pca 1 0.95 0.75 500 2.04 0.216 2 2
min_pca 2 0.95 0.75 500 2 0 2 2
min_pca 3 0.95 0.75 500 2 0 2 2
min_pca 5 0.95 0.75 500 2.002 0.045 2 2
min_pca 10 0.95 0.75 500 2.106 0.308 2 2
min_pca 20 0.95 0.75 500 2.92 0.331 2 3
tpca 0.8 0.95 0.75 500 2.04 0.216 2 2
tpca 0.9 0.95 0.75 500 2.04 0.216 2 2
tpca 0.95 0.95 0.75 500 2.04 0.216 2 2
tpca 0.99 0.95 0.75 500 2.04 0.216 2 2
tpca 0.995 0.95 0.75 500 2 0 2 2
tpca 0.999 0.95 0.75 500 2 0 2 2
max_pca 1 0.9 0 500 46.904 18.284 21 43
max_pca 2 0.9 0 500 28.654 8.375 16 27
max_pca 3 0.9 0 500 24.088 6.292 14 23
max_pca 5 0.9 0 500 19.58 4.649 11 19
max_pca 10 0.9 0 500 15.2 3.322 9 15
max_pca 20 0.9 0 500 12.366 2.689 7 12
min_pca 1 0.9 0 500 2.008 0.089 2 2
min_pca 2 0.9 0 500 2 0 2 2
min_pca 3 0.9 0 500 2 0 2 2
min_pca 5 0.9 0 500 2 0 2 2
min_pca 10 0.9 0 500 2 0 2 2
min_pca 20 0.9 0 500 2.02 0.14 2 2
tpca 0.8 0.9 0 500 2.008 0.089 2 2
tpca 0.9 0.9 0 500 2.008 0.089 2 2
tpca 0.95 0.9 0 500 2.008 0.089 2 2
tpca 0.99 0.9 0 500 2.008 0.089 2 2
tpca 0.995 0.9 0 500 2 0 2 2
tpca 0.999 0.9 0 500 2 0 2 2
max_pca 1 0.9 0.5 500 180.796 321.121 43.9 113
max_pca 2 0.9 0.5 500 63.748 21.138 28 61
max_pca 3 0.9 0.5 500 57.634 18.892 28.475 54
max_pca 5 0.9 0.5 500 45.386 13.678 23 43
max_pca 10 0.9 0.5 500 34.15 9.103 19 33
max_pca 20 0.9 0.5 500 29.692 7.889 17 29
min_pca 1 0.9 0.5 500 2.018 0.133 2 2
min_pca 2 0.9 0.5 500 2.002 0.045 2 2
min_pca 3 0.9 0.5 500 2 0 2 2
min_pca 5 0.9 0.5 500 2 0 2 2
min_pca 10 0.9 0.5 500 2.008 0.089 2 2
min_pca 20 0.9 0.5 500 2.358 0.48 2 2
tpca 0.8 0.9 0.5 500 2.018 0.133 2 2
tpca 0.9 0.9 0.5 500 2.018 0.133 2 2
tpca 0.95 0.9 0.5 500 2.018 0.133 2 2
tpca 0.99 0.9 0.5 500 2.018 0.133 2 2
tpca 0.995 0.9 0.5 500 2.002 0.045 2 2
tpca 0.999 0.9 0.5 500 2.002 0.045 2 2
max_pca 1 0.9 0.75 500 935.098 882.748 56.475 235.125
max_pca 2 0.9 0.75 500 113.088 129.139 37.475 97
max_pca 3 0.9 0.75 500 101.476 36.362 41.475 96
max_pca 5 0.9 0.75 500 75.572 25.329 34 73
max_pca 10 0.9 0.75 500 58.072 17.298 28.475 56
max_pca 20 0.9 0.75 500 53.058 15.532 27 51
min_pca 1 0.9 0.75 500 2.028 0.165 2 2
min_pca 2 0.9 0.75 500 2.004 0.063 2 2
min_pca 3 0.9 0.75 500 2 0 2 2
min_pca 5 0.9 0.75 500 2.008 0.089 2 2
min_pca 10 0.9 0.75 500 2.15 0.357 2 2
min_pca 20 0.9 0.75 500 2.99 0.32 2 3
tpca 0.8 0.9 0.75 500 2.028 0.165 2 2
tpca 0.9 0.9 0.75 500 2.028 0.165 2 2
tpca 0.95 0.9 0.75 500 2.028 0.165 2 2
tpca 0.99 0.9 0.75 500 2.028 0.165 2 2
tpca 0.995 0.9 0.75 500 2.004 0.063 2 2
tpca 0.999 0.9 0.75 500 2.004 0.063 2 2
max_pca 1 0.7 0 500 139.32 271.301 35.475 89
max_pca 2 0.7 0 500 53.776 20.104 24 50
max_pca 3 0.7 0 500 47.806 15.971 21.475 44
max_pca 5 0.7 0 500 37.274 10.703 19 35
max_pca 10 0.7 0 500 28.518 7.745 15 28
max_pca 20 0.7 0 500 23.342 6.074 12 22
min_pca 1 0.7 0 500 2.02 0.14 2 2
min_pca 2 0.7 0 500 2.002 0.045 2 2
min_pca 3 0.7 0 500 2 0 2 2
min_pca 5 0.7 0 500 2 0 2 2
min_pca 10 0.7 0 500 2.004 0.063 2 2
min_pca 20 0.7 0 500 2.18 0.385 2 2
tpca 0.8 0.7 0 500 2.02 0.14 2 2
tpca 0.9 0.7 0 500 2.02 0.14 2 2
tpca 0.95 0.7 0 500 2.02 0.14 2 2
tpca 0.99 0.7 0 500 2.02 0.14 2 2
tpca 0.995 0.7 0 500 2.002 0.045 2 2
tpca 0.999 0.7 0 500 2.002 0.045 2 2
max_pca 1 0.7 0.5 500 712.574 826.524 51.475 186
max_pca 2 0.7 0.5 500 93.496 41.561 36.475 85.025
max_pca 3 0.7 0.5 500 87.71 37.445 35.475 81.025
max_pca 5 0.7 0.5 500 66.456 21.313 32 63
max_pca 10 0.7 0.5 500 51.086 14.542 27 48
max_pca 20 0.7 0.5 500 45.482 13.589 22 43.025
min_pca 1 0.7 0.5 500 2.036 0.197 2 2
min_pca 2 0.7 0.5 500 2.006 0.1 2 2
min_pca 3 0.7 0.5 500 2.004 0.089 2 2
min_pca 5 0.7 0.5 500 2.01 0.118 2 2
min_pca 10 0.7 0.5 500 2.084 0.285 2 2
min_pca 20 0.7 0.5 500 2.82 0.405 2 3
tpca 0.8 0.7 0.5 500 2.036 0.197 2 2
tpca 0.9 0.7 0.5 500 2.036 0.197 2 2
tpca 0.95 0.7 0.5 500 2.036 0.197 2 2
tpca 0.99 0.7 0.5 500 2.036 0.197 2 2
tpca 0.995 0.7 0.5 500 2.006 0.1 2 2
tpca 0.999 0.7 0.5 500 2.006 0.1 2 2
max_pca 1 0.7 0.75 500 1273.47 872.585 83.9 2000
max_pca 2 0.7 0.75 500 194.776 348.586 45 116
max_pca 3 0.7 0.75 500 190.272 338.598 48 115
max_pca 5 0.7 0.75 500 99.316 92.513 39.475 89
max_pca 10 0.7 0.75 500 71.04 22.538 30.95 69
max_pca 20 0.7 0.75 500 67.336 22.357 30 64
min_pca 1 0.7 0.75 500 2.02 0.154 2 2
min_pca 2 0.7 0.75 500 2.01 0.1 2 2
min_pca 3 0.7 0.75 500 2.01 0.1 2 2
min_pca 5 0.7 0.75 500 2.022 0.147 2 2
min_pca 10 0.7 0.75 500 2.42 0.494 2 2
min_pca 20 0.7 0.75 500 3.362 0.501 3 3
tpca 0.8 0.7 0.75 500 2.02 0.154 2 2
tpca 0.9 0.7 0.75 500 2.02 0.154 2 2
tpca 0.95 0.7 0.75 500 2.02 0.154 2 2
tpca 0.99 0.7 0.75 500 2.02 0.154 2 2
tpca 0.995 0.7 0.75 500 2.01 0.1 2 2
tpca 0.999 0.7 0.75 500 2.01 0.1 2 2
max_pca 1 0.5 0 500 709.844 834.857 55.475 173
max_pca 2 0.5 0 500 96.246 125.824 33 82
max_pca 3 0.5 0 500 88.896 91.032 35 79
max_pca 5 0.5 0 500 65.076 20.464 31 62
max_pca 10 0.5 0 500 49.278 12.876 28 48
max_pca 20 0.5 0 500 45.132 12.798 23.475 44
min_pca 1 0.5 0 500 2.024 0.166 2 2
min_pca 2 0.5 0 500 2.004 0.063 2 2
min_pca 3 0.5 0 500 2.002 0.045 2 2
min_pca 5 0.5 0 500 2.006 0.077 2 2
min_pca 10 0.5 0 500 2.062 0.241 2 2
min_pca 20 0.5 0 500 2.762 0.44 2 3
tpca 0.8 0.5 0 500 2.024 0.166 2 2
tpca 0.9 0.5 0 500 2.024 0.166 2 2
tpca 0.95 0.5 0 500 2.024 0.166 2 2
tpca 0.99 0.5 0 500 2.024 0.166 2 2
tpca 0.995 0.5 0 500 2.004 0.063 2 2
tpca 0.999 0.5 0 500 2.004 0.063 2 2
max_pca 1 0.5 0.5 500 1278.616 875.69 72.9 2000
max_pca 2 0.5 0.5 500 189.69 345.462 46 115
max_pca 3 0.5 0.5 500 178.5 316.386 42 115
max_pca 5 0.5 0.5 500 94.236 34.934 39.475 88
max_pca 10 0.5 0.5 500 70.7 21.333 33.475 68
max_pca 20 0.5 0.5 500 67.418 20.818 30.425 64
min_pca 1 0.5 0.5 500 2.04 0.225 2 2
min_pca 2 0.5 0.5 500 2.004 0.063 2 2
min_pca 3 0.5 0.5 500 2.002 0.045 2 2
min_pca 5 0.5 0.5 500 2.03 0.171 2 2
min_pca 10 0.5 0.5 500 2.378 0.502 2 2
min_pca 20 0.5 0.5 500 3.3 0.488 3 3
tpca 0.8 0.5 0.5 500 2.04 0.225 2 2
tpca 0.9 0.5 0.5 500 2.04 0.225 2 2
tpca 0.95 0.5 0.5 500 2.04 0.225 2 2
tpca 0.99 0.5 0.5 500 2.04 0.225 2 2
