method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.98 0.5 500 1181.496 877.474 62.475 1531.7
max_pca 2 0.98 0.5 500 325.788 552.545 46 138
max_pca 3 0.98 0.5 500 50.454 16.603 24 48
max_pca 5 0.98 0.5 500 51.898 16.058 25 50
max_pca 10 0.98 0.5 500 43.868 12.783 23 41
max_pca 20 0.98 0.5 500 25.278 6.844 13 24.025
min_pca 1 0.98 0.5 500 313.078 704.378 3 9
min_pca 2 0.98 0.5 500 9.768 89.505 2 3
min_pca 3 0.98 0.5 500 2.704 0.643 2 3
min_pca 5 0.98 0.5 500 2.32 0.467 2 2
min_pca 10 0.98 0.5 500 3.01 0.205 3 3
min_pca 20 0.98 0.5 500 4.014 0.441 3 4
tpca 0.8 0.98 0.5 500 2.32 0.467 2 2
tpca 0.9 0.98 0.5 500 2.732 0.443 2 3
tpca 0.95 0.98 0.5 500 2.988 0.228 2 3
tpca 0.99 0.98 0.5 500 3.052 0.264 3 3
tpca 0.995 0.98 0.5 500 3.118 0.329 3 3
tpca 0.999 0.98 0.5 500 3.152 0.359 3 3
mix 0.03 0.98 0.5 500 7.72 1.74 5 8
mix 0.1 0.98 0.5 500 6.648 1.493 4 6
mix 0.3 0.98 0.5 500 6.004 1.404 4 6
mix 1 0.98 0.5 500 5.622 1.3 3.475 5
max_pca 1 0.98 0.7 500 1049.248 890.938 51.475 436.075
max_pca 2 0.98 0.7 500 247.066 456.305 39.95 126
max_pca 3 0.98 0.7 500 28.968 9.073 14 27
max_pca 5 0.98 0.7 500 32.276 10 17 31
max_pca 10 0.98 0.7 500 27.09 7.406 15 26
max_pca 20 0.98 0.7 500 15.304 3.732 9 15
min_pca 1 0.98 0.7 500 317.748 713.384 2 6
min_pca 2 0.98 0.7 500 8.458 89.624 2 3
min_pca 3 0.98 0.7 500 2.19 0.398 2 2
min_pca 5 0.98 0.7 500 2.002 0.045 2 2
min_pca 10 0.98 0.7 500 2.206 0.405 2 2
min_pca 20 0.98 0.7 500 3.014 0.118 3 3
tpca 0.8 0.98 0.7 500 2.002 0.045 2 2
tpca 0.9 0.98 0.7 500 2.024 0.153 2 2
tpca 0.95 0.98 0.7 500 2.166 0.372 2 2
tpca 0.99 0.98 0.7 500 2.31 0.463 2 2
tpca 0.995 0.98 0.7 500 2.44 0.497 2 2
tpca 0.999 0.98 0.7 500 2.552 0.498 2 3
mix 0.03 0.98 0.7 500 4.886 0.896 3 5
mix 0.1 0.98 0.7 500 4.162 0.762 3 4
mix 0.3 0.98 0.7 500 3.838 0.702 3 4
mix 1 0.98 0.7 500 3.642 0.671 3 4
max_pca 1 0.98 1 500 809.04 856.223 47.95 203.025
max_pca 2 0.98 1 500 120.644 212.752 35.475 88.025
max_pca 3 0.98 1 500 15.536 3.982 9 15
max_pca 5 0.98 1 500 17.828 4.535 10 17
max_pca 10 0.98 1 500 14.85 3.62 9 14
max_pca 20 0.98 1 500 8.348 1.786 5 8
min_pca 1 0.98 1 500 152.326 508.129 2 4
min_pca 2 0.98 1 500 3.488 9.249 2 2
min_pca 3 0.98 1 500 2.022 0.147 2 2
min_pca 5 0.98 1 500 2 0 2 2
min_pca 10 0.98 1 500 2 0 2 2
min_pca 20 0.98 1 500 2.144 0.351 2 2
tpca 0.8 0.98 1 500 2 0 2 2
tpca 0.9 0.98 1 500 2 0 2 2
tpca 0.95 0.98 1 500 2 0 2 2
tpca 0.99 0.98 1 500 2 0 2 2
tpca 0.995 0.98 1 500 2 0 2 2
tpca 0.999 0.98 1 500 2 0 2 2
mix 0.03 0.98 1 500 3.202 0.479 2 3
mix 0.1 0.98 1 500 2.902 0.386 2 3
mix 0.3 0.98 1 500 2.694 0.47 2 3
mix 1 0.98 1 500 2.518 0.5 2 2
max_pca 1 0.95 0.5 500 1168.726 881.887 62.95 1341.825
max_pca 2 0.95 0.5 500 381.162 612.068 47 139.025
max_pca 3 0.95 0.5 500 53.374 17.86 22 51
max_pca 5 0.95 0.5 500 56.266 17.559 25.475 53
max_pca 10 0.95 0.5 500 47.422 14.71 21 46
max_pca 20 0.95 0.5 500 26.524 7.702 14 25
min_pca 1 0.95 0.5 500 189.802 563.575 2 6
min_pca 2 0.95 0.5 500 25.024 198.79 2 3
min_pca 3 0.95 0.5 500 2.596 0.694 2 2
min_pca 5 0.95 0.5 500 2.312 0.464 2 2
min_pca 10 0.95 0.5 500 2.986 0.332 2 3
min_pca 20 0.95 0.5 500 3.972 0.544 3 4
tpca 0.8 0.95 0.5 500 2.312 0.464 2 2
tpca 0.9 0.95 0.5 500 2.652 0.493 2 3
tpca 0.95 0.95 0.5 500 2.942 0.356 2 3
tpca 0.99 0.95 0.5 500 3.056 0.312 3 3
tpca 0.995 0.95 0.5 500 3.14 0.353 3 3
tpca 0.999 0.95 0.5 500 3.182 0.396 3 3
mix 0.03 0.95 0.5 500 7.95 1.992 4.475 8
mix 0.1 0.95 0.5 500 6.852 1.695 4 7
mix 0.3 0.95 0.5 500 6.252 1.516 3 6
mix 1 0.95 0.5 500 5.92 1.448 3 6
max_pca 1 0.95 0.7 500 1083.33 896.607 68.475 525.025
max_pca 2 0.95 0.7 500 233.366 437.733 41.475 115
max_pca 3 0.95 0.7 500 30.074 9.168 15 28.025
max_pca 5 0.95 0.7 500 33.07 9.845 16 31
max_pca 10 0.95 0.7 500 27.128 7.565 14 26
max_pca 20 0.95 0.7 500 15.326 3.903 8 15
min_pca 1 0.95 0.7 500 169.214 540.848 2 4
min_pca 2 0.95 0.7 500 12.274 126.448 2 2
min_pca 3 0.95 0.7 500 2.18 0.4 2 2
min_pca 5 0.95 0.7 500 2.008 0.089 2 2
