method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 0.3 0.95 0.5 500 6.492 1.307 4 6
mix 1 0.95 0.5 500 6.108 1.229 4 6
max_pca 1 0.95 0.7 500 131.244 245.229 35.475 88
max_pca 2 0.95 0.7 500 68.518 21.728 34 65
max_pca 3 0.95 0.7 500 67.032 17.839 38.475 64
max_pca 5 0.95 0.7 500 57.858 11.503 38 57
max_pca 10 0.95 0.7 500 41.906 6.569 30.475 41
max_pca 20 0.95 0.7 500 26.91 3.583 20 27
min_pca 1 0.95 0.7 500 54.894 264.36 6 12
min_pca 2 0.95 0.7 500 9.59 3.071 6 9
min_pca 3 0.95 0.7 500 14.856 4.259 9 14
min_pca 5 0.95 0.7 500 21.274 4.845 14 20
min_pca 10 0.95 0.7 500 27.438 4.471 19.475 27
min_pca 20 0.95 0.7 500 28.61 3.241 23 28
tpca 0.8 0.95 0.7 500 25.19 4.145 18 25
tpca 0.9 0.95 0.7 500 29.024 3.62 22 28
tpca 0.95 0.95 0.7 500 28.388 3.19 23 28
tpca 0.99 0.95 0.7 500 28.388 3.19 23 28
tpca 0.995 0.95 0.7 500 28.388 3.19 23 28
tpca 0.999 0.95 0.7 500 28.388 3.19 23 28
mix 0.03 0.95 0.7 500 5.248 0.899 4 5
mix 0.1 0.95 0.7 500 4.494 0.734 3 4
mix 0.3 0.95 0.7 500 4.138 0.704 3 4
mix 1 0.95 0.7 500 3.912 0.694 3 4
max_pca 1 0.95 1 500 77.078 213.881 20 47
max_pca 2 0.95 1 500 38.862 13.556 20 36
max_pca 3 0.95 1 500 41.884 11.987 24 39.025
max_pca 5 0.95 1 500 39.062 8.582 25 38
max_pca 10 0.95 1 500 26.92 4.302 20 26.025
max_pca 20 0.95 1 500 17.006 2.249 13 17
min_pca 1 0.95 1 500 30.806 198.442 3 7
min_pca 2 0.95 1 500 5.714 1.659 4 5
min_pca 3 0.95 1 500 8.732 2.524 5 8
min_pca 5 0.95 1 500 12.46 3.076 8 12
min_pca 10 0.95 1 500 16.318 2.852 12 16
min_pca 20 0.95 1 500 16.614 1.956 13 16
tpca 0.8 0.95 1 500 14.806 2.636 10.475 14
tpca 0.9 0.95 1 500 17.17 2.344 13 17
tpca 0.95 0.95 1 500 16.526 1.976 13 16
tpca 0.99 0.95 1 500 16.526 1.976 13 16
tpca 0.995 0.95 1 500 16.526 1.976 13 16
tpca 0.999 0.95 1 500 16.526 1.976 13 16
mix 0.03 0.95 1 500 3.428 0.507 3 3
mix 0.1 0.95 1 500 3.06 0.304 3 3
mix 0.3 0.95 1 500 2.904 0.339 2 3
mix 1 0.95 1 500 2.75 0.447 2 3
max_pca 1 0.95 1.3 500 34.23 19.076 13 29.025
max_pca 2 0.95 1.3 500 25.144 8.103 13 23
max_pca 3 0.95 1.3 500 28.236 7.663 17 27
max_pca 5 0.95 1.3 500 27.722 6.283 18 27
max_pca 10 0.95 1.3 500 18.6 2.874 14 18
max_pca 20 0.95 1.3 500 11.63 1.539 9 12
min_pca 1 0.95 1.3 500 30.896 217.407 3 4
min_pca 2 0.95 1.3 500 3.968 1.442 3 4
min_pca 3 0.95 1.3 500 5.798 1.814 4 5
min_pca 5 0.95 1.3 500 8.102 1.931 5 8
min_pca 10 0.95 1.3 500 10.654 1.712 8 10
min_pca 20 0.95 1.3 500 10.974 1.284 9 11
tpca 0.8 0.95 1.3 500 9.602 1.641 7 9
tpca 0.9 0.95 1.3 500 11.394 1.496 9 11
tpca 0.95 0.95 1.3 500 10.896 1.287 9 11
tpca 0.99 0.95 1.3 500 10.896 1.287 9 11
tpca 0.995 0.95 1.3 500 10.896 1.287 9 11
tpca 0.999 0.95 1.3 500 10.896 1.287 9 11
mix 0.03 0.95 1.3 500 2.85 0.357 2 3
mix 0.1 0.95 1.3 500 2.398 0.49 2 2
mix 0.3 0.95 1.3 500 2.11 0.313 2 2
mix 1 0.95 1.3 500 2.034 0.181 2 2
max_pca 1 0.9 0.5 500 737.406 858.52 63 171.025
max_pca 2 0.9 0.5 500 165.154 291.371 60 112
max_pca 3 0.9 0.5 500 102.124 29.975 56.425 98
max_pca 5 0.9 0.5 500 78.604 15.945 50 77
max_pca 10 0.9 0.5 500 58.454 9.371 41 58
max_pca 20 0.9 0.5 500 39.228 5.531 30 38.025
min_pca 1 0.9 0.5 500 224.786 573.793 8 24
min_pca 2 0.9 0.5 500 23.738 89.272 9 17
min_pca 3 0.9 0.5 500 28.78 12.597 15 25
min_pca 5 0.9 0.5 500 38.532 11.862 23 36
min_pca 10 0.9 0.5 500 46.09 8.933 33 45
min_pca 20 0.9 0.5 500 48.148 6.718 36.475 47
tpca 0.8 0.9 0.5 500 43.458 8.79 30 42
tpca 0.9 0.9 0.5 500 47.736 7.47 35.475 47
tpca 0.95 0.9 0.5 500 47.858 6.71 36 47
tpca 0.99 0.9 0.5 500 47.858 6.71 36 47
tpca 0.995 0.9 0.5 500 47.858 6.71 36 47
tpca 0.999 0.9 0.5 500 47.858 6.71 36 47
mix 0.03 0.9 0.5 500 8.89 1.745 6 9
mix 0.1 0.9 0.5 500 7.656 1.512 5 8
mix 0.3 0.9 0.5 500 6.936 1.386 5 7
mix 1 0.9 0.5 500 6.594 1.318 4 6
max_pca 1 0.9 0.7 500 279.414 544.119 37 96
max_pca 2 0.9 0.7 500 82.052 124.736 34 68
max_pca 3 0.9 0.7 500 71.578 21.981 38.475 67
max_pca 5 0.9 0.7 500 59.384 13.993 38 57
max_pca 10 0.9 0.7 500 42.848 7.871 29.475 42
max_pca 20 0.9 0.7 500 27.644 3.747 21 27
min_pca 1 0.9 0.7 500 146.35 477.842 5 12
min_pca 2 0.9 0.7 500 11.408 6.378 5 9
min_pca 3 0.9 0.7 500 17.236 7.794 9 14
min_pca 5 0.9 0.7 500 23.596 7.689 13 21
min_pca 10 0.9 0.7 500 29.772 6.483 19 28
min_pca 20 0.9 0.7 500 30.632 4.452 23 30
tpca 0.8 0.9 0.7 500 27.348 6.038 18 26
tpca 0.9 0.9 0.7 500 31.016 5.208 23 30
tpca 0.95 0.9 0.7 500 30.434 4.433 23 30
tpca 0.99 0.9 0.7 500 30.434 4.433 23 30
tpca 0.995 0.9 0.7 500 30.434 4.433 23 30
tpca 0.999 0.9 0.7 500 30.434 4.433 23 30
mix 0.03 0.9 0.7 500 5.454 0.897 4 5
mix 0.1 0.9 0.7 500 4.714 0.791 3 5
mix 0.3 0.9 0.7 500 4.308 0.728 3 4
mix 1 0.9 0.7 500 4.064 0.679 3 4
max_pca 1 0.9 1 500 88.266 231.666 19.475 49
max_pca 2 0.9 1 500 42.124 16.754 20 38
max_pca 3 0.9 1 500 44.126 14.667 23.475 41
max_pca 5 0.9 1 500 39.962 10.354 25 38
max_pca 10 0.9 1 500 28.004 5.149 19.475 27
max_pca 20 0.9 1 500 17.52 2.413 13.475 17
min_pca 1 0.9 1 500 79.49 360.88 3 7
min_pca 2 0.9 1 500 6.086 2.692 3 5
min_pca 3 0.9 1 500 9.29 3.952 5 8
min_pca 5 0.9 1 500 12.978 4.18 8 12
min_pca 10 0.9 1 500 17.034 3.764 11 16
min_pca 20 0.9 1 500 17.516 2.518 13 17
tpca 0.8 0.9 1 500 15.522 3.475 10 15
tpca 0.9 0.9 1 500 18.034 3.009 13 17
tpca 0.95 0.9 1 500 17.346 2.541 13 17
tpca 0.99 0.9 1 500 17.346 2.541 13 17
tpca 0.995 0.9 1 500 17.346 2.541 13 17
tpca 0.999 0.9 1 500 17.346 2.541 13 17
mix 0.03 0.9 1 500 3.506 0.524 3 3
mix 0.1 0.9 1 500 3.13 0.402 3 3
mix 0.3 0.9 1 500 2.94 0.353 2 3
mix 1 0.9 1 500 2.808 0.399 2 3
max_pca 1 0.9 1.3 500 46.724 92.285 14 34
max_pca 2 0.9 1.3 500 28.902 12.579 13.475 25
max_pca 3 0.9 1.3 500 31.458 11.522 16 29
max_pca 5 0.9 1.3 500 30.026 8.911 16 28
max_pca 10 0.9 1.3 500 19.706 4.228 13.475 19
max_pca 20 0.9 1.3 500 12.142 1.827 9 12
min_pca 1 0.9 1.3 500 104.796 426.22 3 5
min_pca 2 0.9 1.3 500 4.386 1.654 3 4
min_pca 3 0.9 1.3 500 6.492 2.478 4 6
min_pca 5 0.9 1.3 500 8.998 2.893 5 8
min_pca 10 0.9 1.3 500 11.52 2.495 8 11
min_pca 20 0.9 1.3 500 11.736 1.731 9 11
tpca 0.8 0.9 1.3 500 10.482 2.413 7 10
tpca 0.9 0.9 1.3 500 12.12 2.152 9 12
