method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.98 0.5 500 1855.554 466.524 173.375 2000
max_pca 2 0.98 0.5 500 885.69 892.929 76.475 199
max_pca 3 0.98 0.5 500 482.716 710.029 70 157
max_pca 5 0.98 0.5 500 105.678 37.76 51.475 99
max_pca 10 0.98 0.5 500 49.836 12.41 29 48
max_pca 20 0.98 0.5 500 35.238 8.739 20 34
min_pca 1 0.98 0.5 500 719.586 892.211 34.475 123.025
min_pca 2 0.98 0.5 500 304.29 597.898 39 90
min_pca 3 0.98 0.5 500 18.392 3.775 12 18
min_pca 5 0.98 0.5 500 18.432 3.134 13 18
min_pca 10 0.98 0.5 500 13 1.462 10.475 13
min_pca 20 0.98 0.5 500 14.9 1.332 13 15
tpca 0.8 0.98 0.5 500 12.368 1.565 10 12
tpca 0.9 0.98 0.5 500 13.828 1.589 11 14
tpca 0.95 0.98 0.5 500 11.452 1.148 9.475 11
tpca 0.99 0.98 0.5 500 14.408 1.312 12 14
tpca 0.995 0.98 0.5 500 14.716 1.332 12 15
tpca 0.999 0.98 0.5 500 14.716 1.332 12 15
mix 0.03 0.98 0.5 500 7.42 1.589 5 7
mix 0.1 0.98 0.5 500 6.384 1.284 4 6
mix 0.3 0.98 0.5 500 5.828 1.158 4 6
mix 1 0.98 0.5 500 5.474 1.084 3.475 5
max_pca 1 0.98 0.7 500 1842.928 479.764 195.125 2000
max_pca 2 0.98 0.7 500 447.152 677.839 64 151.025
max_pca 3 0.98 0.7 500 222.788 403.295 56.475 127.025
max_pca 5 0.98 0.7 500 81.396 25.107 38.475 77.025
max_pca 10 0.98 0.7 500 34.356 8.158 20 34
max_pca 20 0.98 0.7 500 22.23 5.392 13 22
min_pca 1 0.98 0.7 500 374.61 705.939 19 65
min_pca 2 0.98 0.7 500 100.6 287.088 23 46
min_pca 3 0.98 0.7 500 10.934 2.097 8 11
min_pca 5 0.98 0.7 500 11.084 1.789 8 11
min_pca 10 0.98 0.7 500 7.82 0.778 6 8
min_pca 20 0.98 0.7 500 8.946 0.727 8 9
tpca 0.8 0.98 0.7 500 7.424 0.857 6 7
tpca 0.9 0.98 0.7 500 8.34 0.873 7 8
tpca 0.95 0.98 0.7 500 6.906 0.615 6 7
tpca 0.99 0.98 0.7 500 8.638 0.699 7 9
tpca 0.995 0.98 0.7 500 8.804 0.703 8 9
tpca 0.999 0.98 0.7 500 8.804 0.703 8 9
mix 0.03 0.98 0.7 500 4.834 0.841 3 5
mix 0.1 0.98 0.7 500 4.166 0.729 3 4
mix 0.3 0.98 0.7 500 3.798 0.653 3 4
mix 1 0.98 0.7 500 3.578 0.617 3 4
max_pca 1 0.98 1 500 1659.406 695.189 113.9 2000
max_pca 2 0.98 1 500 96.856 77.25 37.475 85
max_pca 3 0.98 1 500 85.642 29.725 39 79.025
max_pca 5 0.98 1 500 53.926 15.883 28 52
max_pca 10 0.98 1 500 21.724 4.924 13 21
max_pca 20 0.98 1 500 12.976 2.684 8 13
min_pca 1 0.98 1 500 201.848 538.985 10 30
min_pca 2 0.98 1 500 55.502 215.859 12 25
min_pca 3 0.98 1 500 6.524 1.115 5 6
min_pca 5 0.98 1 500 6.556 0.874 5 6
min_pca 10 0.98 1 500 4.89 0.417 4 5
min_pca 20 0.98 1 500 5.436 0.504 5 5
tpca 0.8 0.98 1 500 4.652 0.509 4 5
tpca 0.9 0.98 1 500 5.14 0.461 4 5
tpca 0.95 0.98 1 500 4.278 0.448 4 4
tpca 0.99 0.98 1 500 5.226 0.437 5 5
tpca 0.995 0.98 1 500 5.304 0.469 5 5
tpca 0.999 0.98 1 500 5.304 0.469 5 5
mix 0.03 0.98 1 500 3.21 0.445 3 3
mix 0.1 0.98 1 500 2.902 0.375 2 3
mix 0.3 0.98 1 500 2.718 0.455 2 3
mix 1 0.98 1 500 2.534 0.499 2 3
