method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.95 0.25 500 86.912 29.559 40.475 82
max_pca 2 0.95 0.25 500 52.968 14.929 26.475 51
max_pca 3 0.95 0.25 500 41.346 10.792 23 40
max_pca 5 0.95 0.25 500 31.338 7.414 18.475 30
max_pca 10 0.95 0.25 500 22.136 4.584 14 22
max_pca 20 0.95 0.25 500 29.12 4.921 20 29
min_pca 1 0.95 0.25 500 2.002 0.045 2 2
min_pca 2 0.95 0.25 500 2 0 2 2
min_pca 3 0.95 0.25 500 2 0 2 2
min_pca 5 0.95 0.25 500 2 0 2 2
min_pca 10 0.95 0.25 500 2 0 2 2
min_pca 20 0.95 0.25 500 2 0 2 2
tpca 0.8 0.95 0.25 500 2.002 0.045 2 2
tpca 0.9 0.95 0.25 500 2.002 0.045 2 2
tpca 0.95 0.95 0.25 500 2.002 0.045 2 2
tpca 0.99 0.95 0.25 500 2.002 0.045 2 2
tpca 0.995 0.95 0.25 500 2.002 0.045 2 2
tpca 0.999 0.95 0.25 500 2.002 0.045 2 2
mix 0.03 0.95 0.5 500 1946.954 263.197 960.05 2000
mix 0.1 0.95 0.5 500 1910.856 339.143 595.175 2000
mix 0.3 0.95 0.5 500 1906.872 337.923 595.175 2000
mix 1 0.95 0.5 500 1888.48 361.104 576.925 2000
max_pca 1 0.95 0.5 500 326.556 525.301 64.9 147
max_pca 2 0.95 0.5 500 95.228 31.847 44.95 90
max_pca 3 0.95 0.5 500 74.22 22.455 34 73
max_pca 5 0.95 0.5 500 54.68 15.498 28 52
max_pca 10 0.95 0.5 500 38.406 9.635 21 37
max_pca 20 0.95 0.5 500 54.98 10.951 34 54
min_pca 1 0.95 0.5 500 2 0 2 2
min_pca 2 0.95 0.5 500 2 0 2 2
min_pca 3 0.95 0.5 500 2 0 2 2
min_pca 5 0.95 0.5 500 2 0 2 2
min_pca 10 0.95 0.5 500 2 0 2 2
min_pca 20 0.95 0.5 500 2 0 2 2
tpca 0.8 0.95 0.5 500 2 0 2 2
tpca 0.9 0.95 0.5 500 2 0 2 2
tpca 0.95 0.95 0.5 500 2 0 2 2
tpca 0.99 0.95 0.5 500 2 0 2 2
tpca 0.995 0.95 0.5 500 2 0 2 2
tpca 0.999 0.95 0.5 500 2 0 2 2
mix 0.03 0.95 0.75 500 1882.252 370.639 485.125 2000
mix 0.1 0.95 0.75 500 1756.806 528.025 189.125 2000
mix 0.3 0.95 0.75 500 1692.612 573.686 174.85 2000
mix 1 0.95 0.75 500 1643.04 615.297 105.85 2000
max_pca 1 0.95 0.75 500 1556.96 769.417 115.275 2000
max_pca 2 0.95 0.75 500 594.408 776.511 73.95 172.025
max_pca 3 0.95 0.75 500 275.274 471.004 66.475 139
max_pca 5 0.95 0.75 500 109.468 35.573 52 106
max_pca 10 0.95 0.75 500 74.94 20.069 39 73
max_pca 20 0.95 0.75 500 127.926 89.753 77.475 120
min_pca 1 0.95 0.75 500 2.002 0.045 2 2
min_pca 2 0.95 0.75 500 2 0 2 2
min_pca 3 0.95 0.75 500 2 0 2 2
min_pca 5 0.95 0.75 500 2 0 2 2
min_pca 10 0.95 0.75 500 2.004 0.063 2 2
min_pca 20 0.95 0.75 500 2.008 0.089 2 2
tpca 0.8 0.95 0.75 500 2.002 0.045 2 2
tpca 0.9 0.95 0.75 500 2.002 0.045 2 2
tpca 0.95 0.95 0.75 500 2.002 0.045 2 2
tpca 0.99 0.95 0.75 500 2.002 0.045 2 2
tpca 0.995 0.95 0.75 500 2.002 0.045 2 2
tpca 0.999 0.95 0.75 500 2.002 0.045 2 2
mix 0.03 0.9 0 500 1961.65 222.886 1399.375 2000
mix 0.1 0.9 0 500 1943.05 257.984 936.825 2000
mix 0.3 0.9 0 500 1940.374 278.676 898.875 2000
mix 1 0.9 0 500 1923.092 316.953 551.925 2000
max_pca 1 0.9 0 500 64.258 22.32 30.475 60
max_pca 2 0.9 0 500 39.142 11.47 21 37
max_pca 3 0.9 0 500 30.352 8.145 16 29
max_pca 5 0.9 0 500 23.456 5.289 14 23
max_pca 10 0.9 0 500 16.93 3.438 11 16
max_pca 20 0.9 0 500 21.14 3.458 15 21
min_pca 1 0.9 0 500 2 0 2 2
min_pca 2 0.9 0 500 2 0 2 2
min_pca 3 0.9 0 500 2 0 2 2
min_pca 5 0.9 0 500 2 0 2 2
min_pca 10 0.9 0 500 2 0 2 2
min_pca 20 0.9 0 500 2 0 2 2
tpca 0.8 0.9 0 500 2 0 2 2
tpca 0.9 0.9 0 500 2 0 2 2
tpca 0.95 0.9 0 500 2 0 2 2
tpca 0.99 0.9 0 500 2 0 2 2
tpca 0.995 0.9 0 500 2 0 2 2
tpca 0.999 0.9 0 500 2 0 2 2
mix 0.03 0.9 0.25 500 1962.842 222.1 1429.975 2000
mix 0.1 0.9 0.25 500 1945.948 260.625 975.95 2000
mix 0.3 0.9 0.25 500 1925.95 302.56 914.225 2000
mix 1 0.9 0.25 500 1929.138 292.213 922.75 2000
max_pca 1 0.9 0.25 500 117.758 127.136 51 101
max_pca 2 0.9 0.25 500 62.044 18.051 32 60
max_pca 3 0.9 0.25 500 49.402 13.426 25 47
max_pca 5 0.9 0.25 500 37.208 9.469 20.475 36
max_pca 10 0.9 0.25 500 26.6 6.047 16 26
max_pca 20 0.9 0.25 500 35.27 6.276 23 35
min_pca 1 0.9 0.25 500 2 0 2 2
min_pca 2 0.9 0.25 500 2 0 2 2
min_pca 3 0.9 0.25 500 2 0 2 2
min_pca 5 0.9 0.25 500 2 0 2 2
min_pca 10 0.9 0.25 500 2 0 2 2
min_pca 20 0.9 0.25 500 2 0 2 2
tpca 0.8 0.9 0.25 500 2 0 2 2
tpca 0.9 0.9 0.25 500 2 0 2 2
tpca 0.95 0.9 0.25 500 2 0 2 2
tpca 0.99 0.9 0.25 500 2 0 2 2
tpca 0.995 0.9 0.25 500 2 0 2 2
tpca 0.999 0.9 0.25 500 2 0 2 2
mix 0.03 0.9 0.5 500 1932.26 266.089 946.9 2000
mix 0.1 0.9 0.5 500 1880.908 364.752 555.7 2000
mix 0.3 0.9 0.5 500 1869.758 395.924 386.6 2000
mix 1 0.9 0.5 500 1830.734 463.682 223.825 2000
max_pca 1 0.9 0.5 500 520.19 711.798 67.475 170
max_pca 2 0.9 0.5 500 108.93 44.564 47 101
max_pca 3 0.9 0.5 500 85.136 27.231 41 81
max_pca 5 0.9 0.5 500 63.806 17.509 34.475 61
max_pca 10 0.9 0.5 500 43.724 10.176 26 43
max_pca 20 0.9 0.5 500 63.206 12.148 42 62
min_pca 1 0.9 0.5 500 2 0 2 2
min_pca 2 0.9 0.5 500 2 0 2 2
min_pca 3 0.9 0.5 500 2 0 2 2
min_pca 5 0.9 0.5 500 2 0 2 2
min_pca 10 0.9 0.5 500 2 0 2 2
min_pca 20 0.9 0.5 500 2 0 2 2
tpca 0.8 0.9 0.5 500 2 0 2 2
tpca 0.9 0.9 0.5 500 2 0 2 2
tpca 0.95 0.9 0.5 500 2 0 2 2
tpca 0.99 0.9 0.5 500 2 0 2 2
tpca 0.995 0.9 0.5 500 2 0 2 2
tpca 0.999 0.9 0.5 500 2 0 2 2
mix 0.03 0.9 0.75 500 1847.358 423.236 386.425 2000
mix 0.1 0.9 0.75 500 1757.996 526.028 238.075 2000
mix 0.3 0.9 0.75 500 1699.516 573.989 198.6 2000
mix 1 0.9 0.75 500 1677.628 577.248 190.475 2000
max_pca 1 0.9 0.75 500 1611.826 734.555 122.85 2000
max_pca 2 0.9 0.75 500 783.672 851.361 82.375 204
max_pca 3 0.9 0.75 500 434.032 647.919 73.475 161.025
max_pca 5 0.9 0.75 500 145.37 193.302 60 117.025
max_pca 10 0.9 0.75 500 81.498 23.944 39 78
max_pca 20 0.9 0.75 500 180.854 275.545 83 135.025
min_pca 1 0.9 0.75 500 2 0 2 2
min_pca 2 0.9 0.75 500 2 0 2 2
min_pca 3 0.9 0.75 500 2 0 2 2
min_pca 5 0.9 0.75 500 2 0 2 2
min_pca 10 0.9 0.75 500 2 0 2 2
min_pca 20 0.9 0.75 500 2.024 0.153 2 2
tpca 0.8 0.9 0.75 500 2 0 2 2
tpca 0.9 0.9 0.75 500 2 0 2 2
tpca 0.95 0.9 0.75 500 2 0 2 2
tpca 0.99 0.9 0.75 500 2 0 2 2
tpca 0.995 0.9 0.75 500 2 0 2 2
tpca 0.999 0.9 0.75 500 2 0 2 2
mix 0.03 0.7 0 500 1907.106 344.8 553.175 2000
mix 0.1 0.7 0 500 1818.054 469.715 230.4 2000
mix 0.3 0.7 0 500 1777.692 518.662 172.475 2000
mix 1 0.7 0 500 1749.882 545.555 144.825 2000
max_pca 1 0.7 0 500 284.594 502.08 47.95 127
max_pca 2 0.7 0 500 81.988 31.564 38 76
max_pca 3 0.7 0 500 64.008 21.28 31 60
max_pca 5 0.7 0 500 48.772 14.043 25 47
