method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
tpca 0.9 0.5 0.75 500 950.428 966.334 15 118
tpca 0.95 0.5 0.75 500 781.088 927.889 18 109
tpca 0.99 0.5 0.75 500 320.194 656.749 18 58.025
max_pca 1 0.3 0 500 1784.534 498.924 254.225 2000
max_pca 2 0.3 0 500 1742.968 541.972 114.85 2000
max_pca 3 0.3 0 500 1649.71 618.419 101.125 2000
max_pca 5 0.3 0 500 1628.524 626.451 118.95 2000
min_pca 1 0.3 0 500 274.178 656.52 4 16
min_pca 2 0.3 0 500 359.208 728.185 6 29.025
min_pca 3 0.3 0 500 239.79 594.669 8 30
min_pca 5 0.3 0 500 81.848 302.166 9 26
tpca 0.8 0.3 0 500 274.178 656.52 4 16
tpca 0.9 0.3 0 500 359.208 728.185 6 29.025
tpca 0.95 0.3 0 500 239.79 594.669 8 30
tpca 0.99 0.3 0 500 108.824 377.215 8 26
max_pca 1 0.3 0.5 500 1761.816 520.229 205.325 2000
max_pca 2 0.3 0.5 500 1723.812 577.629 144.9 2000
max_pca 3 0.3 0.5 500 1664.43 583.613 171.925 2000
max_pca 5 0.3 0.5 500 1657.262 590.459 204.375 2000
min_pca 1 0.3 0.5 500 946.154 974.257 8 118
min_pca 2 0.3 0.5 500 1365.094 910.032 17 2000
min_pca 3 0.3 0.5 500 1362.85 905.102 24.475 2000
min_pca 5 0.3 0.5 500 905.864 951.877 22 130.05
tpca 0.8 0.3 0.5 500 946.154 974.257 8 118
tpca 0.9 0.3 0.5 500 1365.094 910.032 17 2000
tpca 0.95 0.3 0.5 500 1362.85 905.102 24.475 2000
tpca 0.99 0.3 0.5 500 989.114 961.117 17 144.1
max_pca 1 0.3 0.75 500 1776.528 493.683 273.85 2000
max_pca 2 0.3 0.75 500 1727.82 547.434 264.35 2000
max_pca 3 0.3 0.75 500 1636.894 617.728 142.025 2000
max_pca 5 0.3 0.75 500 1701.754 556.082 189.475 2000
min_pca 1 0.3 0.75 500 1320.788 926.933 14.475 2000
min_pca 2 0.3 0.75 500 1893.648 437.242 106.95 2000
min_pca 3 0.3 0.75 500 1958.368 277.928 2000 2000
min_pca 5 0.3 0.75 500 1838.706 526.51 94.325 2000
tpca 0.8 0.3 0.75 500 1320.788 926.933 14.475 2000
tpca 0.9 0.3 0.75 500 1893.648 437.242 106.95 2000
tpca 0.95 0.3 0.75 500 1958.368 277.928 2000 2000
tpca 0.99 0.3 0.75 500 1807.33 572.443 76.95 2000
max_pca 1 0.1 0 500 1796.298 481.384 250.625 2000
max_pca 2 0.1 0 500 1782.144 503.984 219.6 2000
max_pca 3 0.1 0 500 1719.686 550.853 143.7 2000
max_pca 5 0.1 0 500 1708.698 565.745 107.425 2000
min_pca 1 0.1 0 500 1766.458 633.225 19.95 2000
min_pca 2 0.1 0 500 1933.74 353.555 63.9 2000
min_pca 3 0.1 0 500 1950.748 301.872 1049.225 2000
min_pca 5 0.1 0 500 1927.256 366.473 99.325 2000
tpca 0.8 0.1 0 500 1766.458 633.225 19.95 2000
tpca 0.9 0.1 0 500 1933.74 353.555 63.9 2000
tpca 0.95 0.1 0 500 1950.748 301.872 1049.225 2000
tpca 0.99 0.1 0 500 1919.76 383.729 98.775 2000
max_pca 1 0.1 0.5 500 1781.95 479.876 338.675 2000
max_pca 2 0.1 0.5 500 1736.056 551.622 184.9 2000
max_pca 3 0.1 0.5 500 1672.62 595.903 152.425 2000
max_pca 5 0.1 0.5 500 1697.926 561.452 208.325 2000
min_pca 1 0.1 0.5 500 1903.458 421.387 45.475 2000
min_pca 2 0.1 0.5 500 1996.268 83.45 2000 2000
min_pca 3 0.1 0.5 500 2000 0 2000 2000
min_pca 5 0.1 0.5 500 2000 0 2000 2000
tpca 0.8 0.1 0.5 500 1903.458 421.387 45.475 2000
tpca 0.9 0.1 0.5 500 1996.268 83.45 2000 2000
tpca 0.95 0.1 0.5 500 2000 0 2000 2000
tpca 0.99 0.1 0.5 500 1996.268 83.45 2000 2000
max_pca 1 0.1 0.75 500 1789.29 499.474 213.85 2000
max_pca 2 0.1 0.75 500 1744.1 547.444 184.9 2000
max_pca 3 0.1 0.75 500 1672.1 573.009 191.8 2000
max_pca 5 0.1 0.75 500 1714.008 547.904 185.375 2000
min_pca 1 0.1 0.75 500 1961.694 268.474 2000 2000
min_pca 2 0.1 0.75 500 2000 0 2000 2000
min_pca 3 0.1 0.75 500 2000 0 2000 2000
min_pca 5 0.1 0.75 500 2000 0 2000 2000
tpca 0.8 0.1 0.75 500 1961.694 268.474 2000 2000
tpca 0.9 0.1 0.75 500 2000 0 2000 2000
tpca 0.95 0.1 0.75 500 2000 0 2000 2000
tpca 0.99 0.1 0.75 500 2000 0 2000 2000
