method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 0.3 0.95 1.5 500 4.348 1.018 3 4
mix 1 0.95 1.5 500 4.276 1.003 3 4
max_pca 1 0.95 2 500 204.532 420.049 17 92.025
max_pca 2 0.95 2 500 43.666 21.784 11 40
max_pca 3 0.95 2 500 31.09 13.884 9.475 29
max_pca 5 0.95 2 500 21.968 8.784 8 20
max_pca 10 0.95 2 500 11.584 3.769 5 11
max_pca 20 0.95 2 500 5.692 1.456 3 5
min_pca 1 0.95 2 500 2.206 0.544 2 2
min_pca 2 0.95 2 500 2.144 0.379 2 2
min_pca 3 0.95 2 500 2.164 0.387 2 2
min_pca 5 0.95 2 500 2.29 0.488 2 2
min_pca 10 0.95 2 500 2.888 0.6 2 3
min_pca 20 0.95 2 500 3.866 0.708 3 4
tpca 0.8 0.95 2 500 2.206 0.544 2 2
tpca 0.9 0.95 2 500 2.206 0.544 2 2
tpca 0.95 0.95 2 500 2.206 0.544 2 2
tpca 0.99 0.95 2 500 2.144 0.379 2 2
tpca 0.995 0.95 2 500 2.144 0.379 2 2
tpca 0.999 0.95 2 500 2.164 0.387 2 2
mix 0.03 0.95 2 500 2.424 0.503 2 2
mix 0.1 0.95 2 500 2.274 0.455 2 2
mix 0.3 0.95 2 500 2.21 0.408 2 2
mix 1 0.95 2 500 2.18 0.385 2 2
max_pca 1 0.9 0.5 500 29.792 8.52 16 28
max_pca 2 0.9 0.5 500 20.366 5.063 12 20
max_pca 3 0.9 0.5 500 16.046 3.546 10 16
max_pca 5 0.9 0.5 500 11.832 2.402 8 11.025
max_pca 10 0.9 0.5 500 8.292 1.463 6 8
max_pca 20 0.9 0.5 500 5.732 1.005 4 6
min_pca 1 0.9 0.5 500 2.282 0.568 2 2
min_pca 2 0.9 0.5 500 2.284 0.502 2 2
min_pca 3 0.9 0.5 500 2.396 0.54 2 2
min_pca 5 0.9 0.5 500 2.79 0.641 2 3
min_pca 10 0.9 0.5 500 4.066 0.927 3 4
min_pca 20 0.9 0.5 500 7.776 1.793 5 7
tpca 0.8 0.9 0.5 500 2.282 0.568 2 2
tpca 0.9 0.9 0.5 500 2.282 0.568 2 2
tpca 0.95 0.9 0.5 500 2.282 0.568 2 2
tpca 0.99 0.9 0.5 500 2.284 0.502 2 2
tpca 0.995 0.9 0.5 500 2.284 0.502 2 2
tpca 0.999 0.9 0.5 500 2.396 0.54 2 2
mix 0.03 0.9 0.5 500 4.552 0.738 3 4
mix 0.1 0.9 0.5 500 3.862 0.619 3 4
mix 0.3 0.9 0.5 500 3.45 0.573 3 3
mix 1 0.9 0.5 500 3.16 0.55 2 3
max_pca 1 0.9 1.5 500 1948.994 244.522 919.475 2000
max_pca 2 0.9 1.5 500 1984.516 139.803 2000 2000
max_pca 3 0.9 1.5 500 1982.024 179.158 2000 2000
max_pca 5 0.9 1.5 500 1963.694 254.738 2000 2000
max_pca 10 0.9 1.5 500 455.458 707.735 52.475 138.05
max_pca 20 0.9 1.5 500 27.864 9.376 12 26.025
min_pca 1 0.9 1.5 500 2.316 0.591 2 2
min_pca 2 0.9 1.5 500 2.318 0.553 2 2
min_pca 3 0.9 1.5 500 2.406 0.574 2 2
min_pca 5 0.9 1.5 500 2.764 0.643 2 3
min_pca 10 0.9 1.5 500 3.796 0.777 3 4
min_pca 20 0.9 1.5 500 5.76 1.026 4 6
tpca 0.8 0.9 1.5 500 2.316 0.591 2 2
tpca 0.9 0.9 1.5 500 2.316 0.591 2 2
tpca 0.95 0.9 1.5 500 2.316 0.591 2 2
tpca 0.99 0.9 1.5 500 2.318 0.553 2 2
tpca 0.995 0.9 1.5 500 2.318 0.553 2 2
tpca 0.999 0.9 1.5 500 2.406 0.574 2 2
mix 0.03 0.9 1.5 500 5.162 1.367 3 5
mix 0.1 0.9 1.5 500 4.724 1.231 3 5
mix 0.3 0.9 1.5 500 4.532 1.178 3 4
mix 1 0.9 1.5 500 4.456 1.15 3 4
max_pca 1 0.9 2 500 469.99 732.227 21 125
max_pca 2 0.9 2 500 52.624 28.885 15 45.025
max_pca 3 0.9 2 500 36.412 16.922 12 33
max_pca 5 0.9 2 500 25.818 10.196 9 24
max_pca 10 0.9 2 500 13.272 4.288 6 13
max_pca 20 0.9 2 500 6.186 1.629 4 6
min_pca 1 0.9 2 500 2.054 0.226 2 2
min_pca 2 0.9 2 500 2.038 0.191 2 2
min_pca 3 0.9 2 500 2.028 0.165 2 2
min_pca 5 0.9 2 500 2.05 0.218 2 2
min_pca 10 0.9 2 500 2.354 0.495 2 2
min_pca 20 0.9 2 500 3.144 0.447 2 3
tpca 0.8 0.9 2 500 2.054 0.226 2 2
tpca 0.9 0.9 2 500 2.054 0.226 2 2
tpca 0.95 0.9 2 500 2.054 0.226 2 2
tpca 0.99 0.9 2 500 2.038 0.191 2 2
tpca 0.995 0.9 2 500 2.038 0.191 2 2
tpca 0.999 0.9 2 500 2.028 0.165 2 2
mix 0.03 0.9 2 500 2.438 0.501 2 2
mix 0.1 0.9 2 500 2.286 0.452 2 2
mix 0.3 0.9 2 500 2.216 0.412 2 2
mix 1 0.9 2 500 2.196 0.397 2 2
max_pca 1 0.7 0.5 500 44.306 16.335 20.475 40
max_pca 2 0.7 0.5 500 29.78 7.696 17 28.025
max_pca 3 0.7 0.5 500 23.502 5.386 14 23
max_pca 5 0.7 0.5 500 17.342 3.835 11 17
max_pca 10 0.7 0.5 500 11.96 2.374 8 12
max_pca 20 0.7 0.5 500 8.29 1.679 5 8
min_pca 1 0.7 0.5 500 2.112 0.352 2 2
min_pca 2 0.7 0.5 500 2.068 0.26 2 2
min_pca 3 0.7 0.5 500 2.076 0.273 2 2
min_pca 5 0.7 0.5 500 2.154 0.367 2 2
min_pca 10 0.7 0.5 500 2.866 0.478 2 3
min_pca 20 0.7 0.5 500 4.408 0.747 3 4
tpca 0.8 0.7 0.5 500 2.112 0.352 2 2
tpca 0.9 0.7 0.5 500 2.112 0.352 2 2
tpca 0.95 0.7 0.5 500 2.112 0.352 2 2
tpca 0.99 0.7 0.5 500 2.068 0.26 2 2
tpca 0.995 0.7 0.5 500 2.068 0.26 2 2
tpca 0.999 0.7 0.5 500 2.076 0.273 2 2
mix 0.03 0.7 0.5 500 5.252 0.852 4 5
mix 0.1 0.7 0.5 500 4.446 0.693 3 4
mix 0.3 0.7 0.5 500 3.938 0.669 3 4
mix 1 0.7 0.5 500 3.598 0.646 2.475 4
