method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.98 0 500 36.656 11.51 20 34
max_pca 2 0.98 0 500 23.472 6.342 13 23
max_pca 3 0.98 0 500 19.54 4.952 11 19
max_pca 5 0.98 0 500 14.802 3.171 9.475 14
max_pca 10 0.98 0 500 11.52 2.219 7 11
max_pca 20 0.98 0 500 9.516 1.933 6 9
min_pca 1 0.98 0 500 2.714 0.882 2 2
min_pca 2 0.98 0 500 2.73 0.739 2 3
min_pca 3 0.98 0 500 2.706 0.648 2 3
min_pca 5 0.98 0 500 2.858 0.543 2 3
min_pca 10 0.98 0 500 3.14 0.425 2 3
min_pca 20 0.98 0 500 3.69 0.512 3 4
tpca 0.8 0.98 0 500 2.714 0.882 2 2
tpca 0.9 0.98 0 500 2.714 0.882 2 2
tpca 0.95 0.98 0 500 2.73 0.739 2 3
tpca 0.99 0.98 0 500 2.8 0.597 2 3
tpca 0.995 0.98 0 500 2.824 0.546 2 3
tpca 0.999 0.98 0 500 3.018 0.488 2 3
max_pca 1 0.98 0.5 500 125.292 164.083 37.95 102
max_pca 2 0.98 0.5 500 65.49 21.721 29 62
max_pca 3 0.98 0.5 500 52.972 16.155 25.475 50
max_pca 5 0.98 0.5 500 38.832 10.726 21 37
max_pca 10 0.98 0.5 500 29.318 7.345 16 28
max_pca 20 0.98 0.5 500 24.776 6.458 14 24
min_pca 1 0.98 0.5 500 3.416 1.334 2 3
min_pca 2 0.98 0.5 500 3.588 1.07 2 3
min_pca 3 0.98 0.5 500 3.534 0.857 2 3
min_pca 5 0.98 0.5 500 3.766 0.77 3 4
min_pca 10 0.98 0.5 500 4.344 0.723 3 4
min_pca 20 0.98 0.5 500 5.388 0.717 4 5
tpca 0.8 0.98 0.5 500 3.416 1.334 2 3
tpca 0.9 0.98 0.5 500 3.416 1.334 2 3
tpca 0.95 0.98 0.5 500 3.588 1.07 2 3
tpca 0.99 0.98 0.5 500 3.674 0.806 3 3
tpca 0.995 0.98 0.5 500 3.73 0.801 3 4
tpca 0.999 0.98 0.5 500 4.002 0.777 3 4
max_pca 1 0.98 0.75 500 879.71 876.266 77.95 210.025
max_pca 2 0.98 0.75 500 246.304 436.2 54.95 129.025
max_pca 3 0.98 0.75 500 115.986 152.106 46.475 97
max_pca 5 0.98 0.75 500 72.902 23.648 38 67
max_pca 10 0.98 0.75 500 55.578 16.359 28 53
max_pca 20 0.98 0.75 500 47.552 14.225 19.95 46
min_pca 1 0.98 0.75 500 4.518 1.878 2 4
min_pca 2 0.98 0.75 500 4.84 1.443 3 5
min_pca 3 0.98 0.75 500 4.886 1.322 3 5
min_pca 5 0.98 0.75 500 5.48 1.209 4 5
min_pca 10 0.98 0.75 500 6.666 1.123 5 7
min_pca 20 0.98 0.75 500 8.804 1.149 7 9
tpca 0.8 0.98 0.75 500 4.518 1.878 2 4
tpca 0.9 0.98 0.75 500 4.518 1.878 2 4
tpca 0.95 0.98 0.75 500 4.84 1.443 3 5
tpca 0.99 0.98 0.75 500 5.198 1.292 3 5
tpca 0.995 0.98 0.75 500 5.358 1.173 3 5
tpca 0.999 0.98 0.75 500 5.992 1.186 4 6
max_pca 1 0.95 0 500 41.748 13.312 19 39
max_pca 2 0.95 0 500 26.496 7.173 14 25
max_pca 3 0.95 0 500 22.342 5.388 14 22
max_pca 5 0.95 0 500 16.96 3.677 11 17
max_pca 10 0.95 0 500 12.888 2.753 8 13
max_pca 20 0.95 0 500 10.49 2.233 7 10
min_pca 1 0.95 0 500 2.788 0.97 2 2
min_pca 2 0.95 0 500 2.784 0.784 2 3
min_pca 3 0.95 0 500 2.78 0.648 2 3
min_pca 5 0.95 0 500 2.922 0.522 2 3
min_pca 10 0.95 0 500 3.214 0.452 3 3
min_pca 20 0.95 0 500 3.786 0.503 3 4
tpca 0.8 0.95 0 500 2.788 0.97 2 2
tpca 0.9 0.95 0 500 2.788 0.97 2 2
tpca 0.95 0.95 0 500 2.784 0.784 2 3
tpca 0.99 0.95 0 500 2.852 0.592 2 3
tpca 0.995 0.95 0 500 2.884 0.561 2 3
tpca 0.999 0.95 0 500 3.07 0.471 2 3
max_pca 1 0.95 0.5 500 134.62 175.588 39 105
max_pca 2 0.95 0.5 500 71.576 25.069 28.475 69
max_pca 3 0.95 0.5 500 56.976 17.974 25.475 55
max_pca 5 0.95 0.5 500 41.268 11.853 21 40
max_pca 10 0.95 0.5 500 31.226 7.81 17 30
max_pca 20 0.95 0.5 500 26.274 6.921 14.475 25
min_pca 1 0.95 0.5 500 3.452 1.343 2 3
min_pca 2 0.95 0.5 500 3.666 1.081 2 3
min_pca 3 0.95 0.5 500 3.67 0.931 2 3
min_pca 5 0.95 0.5 500 3.93 0.821 3 4
min_pca 10 0.95 0.5 500 4.542 0.757 3 4
min_pca 20 0.95 0.5 500 5.71 0.761 4 6
tpca 0.8 0.95 0.5 500 3.452 1.343 2 3
tpca 0.9 0.95 0.5 500 3.452 1.343 2 3
tpca 0.95 0.95 0.5 500 3.666 1.081 2 3
tpca 0.99 0.95 0.5 500 3.832 0.9 3 4
tpca 0.995 0.95 0.5 500 3.86 0.811 3 4
tpca 0.999 0.95 0.5 500 4.2 0.798 3 4
max_pca 1 0.95 0.75 500 1055.346 901.711 71 332.575
max_pca 2 0.95 0.75 500 310.56 534.175 49.9 137
max_pca 3 0.95 0.75 500 113.864 96.941 45 100
max_pca 5 0.95 0.75 500 74.402 26.254 32 71
max_pca 10 0.95 0.75 500 56.492 16.47 29 55
max_pca 20 0.95 0.75 500 49.128 15.699 23 46.025
min_pca 1 0.95 0.75 500 4.694 1.995 2 4
min_pca 2 0.95 0.75 500 5.014 1.596 3 5
min_pca 3 0.95 0.75 500 5.002 1.323 3 5
min_pca 5 0.95 0.75 500 5.634 1.244 4 5
min_pca 10 0.95 0.75 500 6.918 1.129 5 7
min_pca 20 0.95 0.75 500 9.198 1.112 7 9
