method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.95 0.75 500 174.776 295.273 50.95 115
max_pca 2 0.95 0.75 500 72.304 19.281 39 68
max_pca 3 0.95 0.75 500 52.626 10.618 34.475 51
max_pca 5 0.95 0.75 500 38.722 6.205 28 38
max_pca 10 0.95 0.75 500 30.292 3.863 23 30
max_pca 20 0.95 0.75 500 22.3 2.41 18 22
min_pca 1 0.95 0.75 500 2000 0 2000 2000
min_pca 2 0.95 0.75 500 2000 0 2000 2000
min_pca 3 0.95 0.75 500 2000 0 2000 2000
min_pca 5 0.95 0.75 500 2000 0 2000 2000
min_pca 10 0.95 0.75 500 2000 0 2000 2000
min_pca 20 0.95 0.75 500 2000 0 2000 2000
tpca 0.8 0.95 0.75 500 2000 0 2000 2000
tpca 0.9 0.95 0.75 500 2000 0 2000 2000
tpca 0.95 0.95 0.75 500 2000 0 2000 2000
tpca 0.99 0.95 0.75 500 2000 0 2000 2000
tpca 0.995 0.95 0.75 500 2000 0 2000 2000
tpca 0.999 0.95 0.75 500 2000 0 2000 2000
mix 0.03 0.95 0.75 500 15.328 3.144 9 15
mix 0.1 0.95 0.75 500 12.576 2.56 8 12
mix 0.3 0.95 0.75 500 11.038 2.302 7 11
mix 1 0.95 0.75 500 10.094 2.12 6 10
max_pca 1 0.95 1.5 500 1894.47 426.807 135.65 2000
max_pca 2 0.95 1.5 500 2000 0 2000 2000
max_pca 3 0.95 1.5 500 2000 0 2000 2000
max_pca 5 0.95 1.5 500 2000 0 2000 2000
max_pca 10 0.95 1.5 500 2000 0 2000 2000
max_pca 20 0.95 1.5 500 2000 0 2000 2000
min_pca 1 0.95 1.5 500 59.352 24.597 19 55
min_pca 2 0.95 1.5 500 44.224 13.371 21 43
min_pca 3 0.95 1.5 500 35.026 8.289 21 34
min_pca 5 0.95 1.5 500 31.986 5.854 22 31
min_pca 10 0.95 1.5 500 28.098 3.889 21 28
min_pca 20 0.95 1.5 500 25.79 2.68 21 26
tpca 0.8 0.95 1.5 500 44.224 13.371 21 43
tpca 0.9 0.95 1.5 500 28.05 4.374 20 28
tpca 0.95 0.95 1.5 500 26.004 3.136 20 26
tpca 0.99 0.95 1.5 500 25.292 2.835 20 25
tpca 0.995 0.95 1.5 500 25.292 2.835 20 25
tpca 0.999 0.95 1.5 500 25.292 2.835 20 25
