method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
tpca 0.999 0.95 0.5 500 2.042 0.22 2 2
mix 0.03 0.95 0.75 500 15.25 3.631 9 15
mix 0.1 0.95 0.75 500 12.322 3.05 7 12
mix 0.3 0.95 0.75 500 10.854 2.715 6 11
mix 1 0.95 0.75 500 9.912 2.501 5 10
max_pca 1 0.95 0.75 500 102.842 44.15 44.95 96.025
max_pca 2 0.95 0.75 500 61.322 17.123 32 59
max_pca 3 0.95 0.75 500 48.284 13.119 26 46
max_pca 5 0.95 0.75 500 35.744 8.548 22 35
max_pca 10 0.95 0.75 500 23.564 5.118 14.475 23
max_pca 20 0.95 0.75 500 27.472 4.612 20 27
min_pca 1 0.95 0.75 500 2.142 0.45 2 2
min_pca 2 0.95 0.75 500 2.224 0.535 2 2
min_pca 3 0.95 0.75 500 2.39 0.701 2 2
min_pca 5 0.95 0.75 500 2.788 0.99 2 2
min_pca 10 0.95 0.75 500 4.25 1.825 2 4
min_pca 20 0.95 0.75 500 8.296 3.876 4 7
tpca 0.8 0.95 0.75 500 2.142 0.45 2 2
tpca 0.9 0.95 0.75 500 2.142 0.45 2 2
tpca 0.95 0.95 0.75 500 2.142 0.45 2 2
tpca 0.99 0.95 0.75 500 2.142 0.45 2 2
tpca 0.995 0.95 0.75 500 2.142 0.45 2 2
tpca 0.999 0.95 0.75 500 2.224 0.535 2 2
mix 0.03 0.95 1.5 500 5.072 1.263 3 5
mix 0.1 0.95 1.5 500 4.598 1.127 3 4
mix 0.3 0.95 1.5 500 4.422 1.054 3 4
mix 1 0.95 1.5 500 4.34 1.039 3 4
max_pca 1 0.95 1.5 500 1988.316 131.847 2000 2000
max_pca 2 0.95 1.5 500 1836.604 520.641 152.375 2000
max_pca 3 0.95 1.5 500 1212.994 912.175 66.75 2000
max_pca 5 0.95 1.5 500 323.482 568.542 48.95 130
max_pca 10 0.95 1.5 500 59.784 21.356 26 56
max_pca 20 0.95 1.5 500 30.866 7.584 18 30
min_pca 1 0.95 1.5 500 2.034 0.192 2 2
min_pca 2 0.95 1.5 500 2.036 0.186 2 2
min_pca 3 0.95 1.5 500 2.052 0.222 2 2
min_pca 5 0.95 1.5 500 2.124 0.353 2 2
min_pca 10 0.95 1.5 500 2.522 0.668 2 2
min_pca 20 0.95 1.5 500 3.56 0.912 2 3
tpca 0.8 0.95 1.5 500 2.034 0.192 2 2
tpca 0.9 0.95 1.5 500 2.034 0.192 2 2
tpca 0.95 0.95 1.5 500 2.034 0.192 2 2
tpca 0.99 0.95 1.5 500 2.034 0.192 2 2
tpca 0.995 0.95 1.5 500 2.034 0.192 2 2
tpca 0.999 0.95 1.5 500 2.036 0.186 2 2
mix 0.03 0.95 2 500 2.444 0.505 2 2
mix 0.1 0.95 2 500 2.286 0.452 2 2
mix 0.3 0.95 2 500 2.216 0.412 2 2
mix 1 0.95 2 500 2.202 0.402 2 2
max_pca 1 0.95 2 500 72.94 41.621 17.475 64
max_pca 2 0.95 2 500 37.054 15.982 11.475 34
max_pca 3 0.95 2 500 25.132 9.886 10 23
max_pca 5 0.95 2 500 17.374 6.126 7 17
max_pca 10 0.95 2 500 10.256 3.297 5 10
max_pca 20 0.95 2 500 7.386 1.79 4.475 7
min_pca 1 0.95 2 500 2.004 0.063 2 2
min_pca 2 0.95 2 500 2.004 0.063 2 2
min_pca 3 0.95 2 500 2.004 0.063 2 2
min_pca 5 0.95 2 500 2.008 0.089 2 2
min_pca 10 0.95 2 500 2.07 0.255 2 2
min_pca 20 0.95 2 500 2.394 0.536 2 2
tpca 0.8 0.95 2 500 2.004 0.063 2 2
tpca 0.9 0.95 2 500 2.004 0.063 2 2
tpca 0.95 0.95 2 500 2.004 0.063 2 2
tpca 0.99 0.95 2 500 2.004 0.063 2 2
tpca 0.995 0.95 2 500 2.004 0.063 2 2
tpca 0.999 0.95 2 500 2.004 0.063 2 2
mix 0.03 0.9 0.5 500 5.156 0.767 4 5
mix 0.1 0.9 0.5 500 4.322 0.712 3 4
mix 0.3 0.9 0.5 500 3.782 0.622 3 4
mix 1 0.9 0.5 500 3.406 0.585 2 3
max_pca 1 0.9 0.5 500 38.46 10.192 20 37
max_pca 2 0.9 0.5 500 24.634 5.337 15 24
max_pca 3 0.9 0.5 500 19.212 3.932 12 19
max_pca 5 0.9 0.5 500 14.632 2.679 10 14
max_pca 10 0.9 0.5 500 9.802 1.695 7 10
max_pca 20 0.9 0.5 500 10.196 1.416 8 10
min_pca 1 0.9 0.5 500 2.02 0.14 2 2
min_pca 2 0.9 0.5 500 2.02 0.14 2 2
min_pca 3 0.9 0.5 500 2.03 0.171 2 2
min_pca 5 0.9 0.5 500 2.06 0.246 2 2
min_pca 10 0.9 0.5 500 2.26 0.495 2 2
min_pca 20 0.9 0.5 500 3.242 0.775 2 3
tpca 0.8 0.9 0.5 500 2.02 0.14 2 2
tpca 0.9 0.9 0.5 500 2.02 0.14 2 2
tpca 0.95 0.9 0.5 500 2.02 0.14 2 2
tpca 0.99 0.9 0.5 500 2.02 0.14 2 2
tpca 0.995 0.9 0.5 500 2.02 0.14 2 2
tpca 0.999 0.9 0.5 500 2.02 0.14 2 2
mix 0.03 0.9 0.75 500 15.622 3.576 9.475 15
mix 0.1 0.9 0.75 500 12.826 2.989 7 13
mix 0.3 0.9 0.75 500 11.234 2.765 6 11
mix 1 0.9 0.75 500 10.266 2.635 6 10
max_pca 1 0.9 0.75 500 108.268 45.88 46 100
max_pca 2 0.9 0.75 500 64.53 18.889 33.475 61
max_pca 3 0.9 0.75 500 51.132 14.148 26.475 49
max_pca 5 0.9 0.75 500 37.44 9.09 20.475 37
max_pca 10 0.9 0.75 500 24.914 5.484 16 24
max_pca 20 0.9 0.75 500 29.428 5.05 20 29
min_pca 1 0.9 0.75 500 2.038 0.202 2 2
min_pca 2 0.9 0.75 500 2.064 0.253 2 2
min_pca 3 0.9 0.75 500 2.13 0.371 2 2
min_pca 5 0.9 0.75 500 2.274 0.551 2 2
min_pca 10 0.9 0.75 500 3.024 0.886 2 3
min_pca 20 0.9 0.75 500 5.156 1.626 3 5
tpca 0.8 0.9 0.75 500 2.038 0.202 2 2
tpca 0.9 0.9 0.75 500 2.038 0.202 2 2
tpca 0.95 0.9 0.75 500 2.038 0.202 2 2
tpca 0.99 0.9 0.75 500 2.038 0.202 2 2
tpca 0.995 0.9 0.75 500 2.038 0.202 2 2
tpca 0.999 0.9 0.75 500 2.064 0.253 2 2
mix 0.03 0.9 1.5 500 5.244 1.322 3 5
mix 0.1 0.9 1.5 500 4.794 1.174 3 5
mix 0.3 0.9 1.5 500 4.626 1.116 3 4
mix 1 0.9 1.5 500 4.56 1.105 3 4
max_pca 1 0.9 1.5 500 1982.09 164.888 2000 2000
max_pca 2 0.9 1.5 500 1884.186 443.956 155.425 2000
max_pca 3 0.9 1.5 500 1577.144 773.268 93.475 2000
max_pca 5 0.9 1.5 500 625.116 812.867 66 165.05
max_pca 10 0.9 1.5 500 71.274 24.201 32.475 67
max_pca 20 0.9 1.5 500 35.354 8.787 20 34
min_pca 1 0.9 1.5 500 2.02 0.154 2 2
min_pca 2 0.9 1.5 500 2.014 0.134 2 2
min_pca 3 0.9 1.5 500 2.022 0.16 2 2
min_pca 5 0.9 1.5 500 2.04 0.206 2 2
min_pca 10 0.9 1.5 500 2.192 0.433 2 2
min_pca 20 0.9 1.5 500 2.932 0.62 2 3
tpca 0.8 0.9 1.5 500 2.02 0.154 2 2
tpca 0.9 0.9 1.5 500 2.02 0.154 2 2
tpca 0.95 0.9 1.5 500 2.02 0.154 2 2
tpca 0.99 0.9 1.5 500 2.02 0.154 2 2
tpca 0.995 0.9 1.5 500 2.02 0.154 2 2
tpca 0.999 0.9 1.5 500 2.014 0.134 2 2
mix 0.03 0.9 2 500 2.492 0.52 2 2
mix 0.1 0.9 2 500 2.334 0.485 2 2
mix 0.3 0.9 2 500 2.26 0.444 2 2
mix 1 0.9 2 500 2.254 0.44 2 2
max_pca 1 0.9 2 500 96.25 157.173 23 73
max_pca 2 0.9 2 500 41.71 18.584 15 38
max_pca 3 0.9 2 500 28.434 11.584 12 26
max_pca 5 0.9 2 500 19.974 7.095 9 19
max_pca 10 0.9 2 500 11.5 3.427 6 11
max_pca 20 0.9 2 500 8.084 1.892 5 8
min_pca 1 0.9 2 500 2.004 0.063 2 2
min_pca 2 0.9 2 500 2 0 2 2
min_pca 3 0.9 2 500 2 0 2 2
min_pca 5 0.9 2 500 2.002 0.045 2 2
min_pca 10 0.9 2 500 2.016 0.126 2 2
min_pca 20 0.9 2 500 2.13 0.337 2 2
tpca 0.8 0.9 2 500 2.004 0.063 2 2
tpca 0.9 0.9 2 500 2.004 0.063 2 2
tpca 0.95 0.9 2 500 2.004 0.063 2 2
tpca 0.99 0.9 2 500 2.004 0.063 2 2
tpca 0.995 0.9 2 500 2.004 0.063 2 2
tpca 0.999 0.9 2 500 2 0 2 2
mix 0.03 0.7 0.5 500 5.798 0.876 4 6
mix 0.1 0.7 0.5 500 4.894 0.782 3 5
mix 0.3 0.7 0.5 500 4.356 0.755 3 4
mix 1 0.7 0.5 500 4.028 0.702 3 4
max_pca 1 0.7 0.5 500 61.256 20.462 31 56
max_pca 2 0.7 0.5 500 37.836 10.418 20 36
max_pca 3 0.7 0.5 500 29.46 7.398 17 29
max_pca 5 0.7 0.5 500 21.938 4.755 14 22
max_pca 10 0.7 0.5 500 14.704 2.954 10 14
max_pca 20 0.7 0.5 500 15.89 2.526 11 16
min_pca 1 0.7 0.5 500 2.004 0.063 2 2
min_pca 2 0.7 0.5 500 2 0 2 2
min_pca 3 0.7 0.5 500 2 0 2 2
min_pca 5 0.7 0.5 500 2.006 0.077 2 2
min_pca 10 0.7 0.5 500 2.05 0.218 2 2
min_pca 20 0.7 0.5 500 2.382 0.537 2 2
tpca 0.8 0.7 0.5 500 2.004 0.063 2 2
tpca 0.9 0.7 0.5 500 2.004 0.063 2 2
tpca 0.95 0.7 0.5 500 2.004 0.063 2 2
