method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.98 0.5 500 1324.962 858.353 80 2000
max_pca 2 0.98 0.5 500 73.8 28.072 31 69
max_pca 3 0.98 0.5 500 67.414 23.656 28 63
max_pca 5 0.98 0.5 500 61.904 19.322 28 59
max_pca 10 0.98 0.5 500 44.704 12.797 24 42
max_pca 20 0.98 0.5 500 25.97 7.112 15 25
min_pca 1 0.98 0.5 500 2 0 2 2
min_pca 2 0.98 0.5 500 2 0 2 2
min_pca 3 0.98 0.5 500 2 0 2 2
min_pca 5 0.98 0.5 500 2 0 2 2
min_pca 10 0.98 0.5 500 2 0 2 2
min_pca 20 0.98 0.5 500 2.908 0.289 2 3
tpca 0.8 0.98 0.5 500 2 0 2 2
tpca 0.9 0.98 0.5 500 2 0 2 2
tpca 0.95 0.98 0.5 500 2 0 2 2
tpca 0.99 0.98 0.5 500 2 0 2 2
tpca 0.995 0.98 0.5 500 2 0 2 2
tpca 0.999 0.98 0.5 500 2 0 2 2
mix 0.03 0.98 0.5 500 7.432 1.666 4 7
mix 0.1 0.98 0.5 500 6.276 1.413 4 6
mix 0.3 0.98 0.5 500 5.708 1.245 3 6
mix 1 0.98 0.5 500 5.302 1.189 3 5
max_pca 1 0.98 0.7 500 1153.388 879.09 64 969.975
max_pca 2 0.98 0.7 500 47.378 17.684 18.475 44
max_pca 3 0.98 0.7 500 43.12 14.315 20 40
max_pca 5 0.98 0.7 500 38.078 11.769 18.475 36
max_pca 10 0.98 0.7 500 27.838 7.217 16 27
max_pca 20 0.98 0.7 500 15.914 3.91 9 15
min_pca 1 0.98 0.7 500 2 0 2 2
min_pca 2 0.98 0.7 500 2 0 2 2
min_pca 3 0.98 0.7 500 2 0 2 2
min_pca 5 0.98 0.7 500 2 0 2 2
min_pca 10 0.98 0.7 500 2 0 2 2
min_pca 20 0.98 0.7 500 2 0 2 2
tpca 0.8 0.98 0.7 500 2 0 2 2
tpca 0.9 0.98 0.7 500 2 0 2 2
tpca 0.95 0.98 0.7 500 2 0 2 2
tpca 0.99 0.98 0.7 500 2 0 2 2
tpca 0.995 0.98 0.7 500 2 0 2 2
tpca 0.999 0.98 0.7 500 2 0 2 2
mix 0.03 0.98 0.7 500 4.638 0.879 3 5
mix 0.1 0.98 0.7 500 4.104 0.768 3 4
mix 0.3 0.98 0.7 500 3.73 0.689 3 4
mix 1 0.98 0.7 500 3.498 0.674 2 3
max_pca 1 0.98 1 500 964.45 887.384 51 291.375
max_pca 2 0.98 1 500 26.758 8.248 13 25
max_pca 3 0.98 1 500 24.648 7.124 13 24
max_pca 5 0.98 1 500 22.596 6.049 13 22
max_pca 10 0.98 1 500 16.726 4.157 9 16
max_pca 20 0.98 1 500 9.344 2.056 6 9
min_pca 1 0.98 1 500 2 0 2 2
min_pca 2 0.98 1 500 2 0 2 2
min_pca 3 0.98 1 500 2 0 2 2
min_pca 5 0.98 1 500 2 0 2 2
min_pca 10 0.98 1 500 2 0 2 2
min_pca 20 0.98 1 500 2 0 2 2
tpca 0.8 0.98 1 500 2 0 2 2
tpca 0.9 0.98 1 500 2 0 2 2
tpca 0.95 0.98 1 500 2 0 2 2
tpca 0.99 0.98 1 500 2 0 2 2
tpca 0.995 0.98 1 500 2 0 2 2
tpca 0.999 0.98 1 500 2 0 2 2
mix 0.03 0.98 1 500 3.162 0.465 2 3
mix 0.1 0.98 1 500 2.868 0.399 2 3
mix 0.3 0.98 1 500 2.66 0.474 2 3
mix 1 0.98 1 500 2.488 0.5 2 2
max_pca 1 0.95 0.5 500 1398.364 835.889 63.475 2000
max_pca 2 0.95 0.5 500 78.87 91.209 29 69
max_pca 3 0.95 0.5 500 69.226 26.616 30.475 63
max_pca 5 0.95 0.5 500 62.634 21.365 30 59
max_pca 10 0.95 0.5 500 44.68 12.864 22 43
max_pca 20 0.95 0.5 500 26.168 6.795 14 25
min_pca 1 0.95 0.5 500 2 0 2 2
min_pca 2 0.95 0.5 500 2 0 2 2
min_pca 3 0.95 0.5 500 2 0 2 2
min_pca 5 0.95 0.5 500 2 0 2 2
min_pca 10 0.95 0.5 500 2 0 2 2
min_pca 20 0.95 0.5 500 2.91 0.286 2 3
tpca 0.8 0.95 0.5 500 2 0 2 2
tpca 0.9 0.95 0.5 500 2 0 2 2
tpca 0.95 0.95 0.5 500 2 0 2 2
tpca 0.99 0.95 0.5 500 2 0 2 2
tpca 0.995 0.95 0.5 500 2 0 2 2
tpca 0.999 0.95 0.5 500 2 0 2 2
mix 0.03 0.95 0.5 500 7.536 1.742 5 7
mix 0.1 0.95 0.5 500 6.428 1.512 4 6
mix 0.3 0.95 0.5 500 5.822 1.347 3 6
mix 1 0.95 0.5 500 5.462 1.241 3 5
max_pca 1 0.95 0.7 500 1143.706 886.798 61.475 1196.425
max_pca 2 0.95 0.7 500 48.38 19.86 18 44
max_pca 3 0.95 0.7 500 44.176 15.489 20 41
max_pca 5 0.95 0.7 500 40.13 12.762 19 37
max_pca 10 0.95 0.7 500 28.988 8.046 16 28
max_pca 20 0.95 0.7 500 15.936 4.147 9 15
min_pca 1 0.95 0.7 500 2 0 2 2
min_pca 2 0.95 0.7 500 2 0 2 2
min_pca 3 0.95 0.7 500 2 0 2 2
min_pca 5 0.95 0.7 500 2 0 2 2
min_pca 10 0.95 0.7 500 2 0 2 2
min_pca 20 0.95 0.7 500 2.004 0.063 2 2
tpca 0.8 0.95 0.7 500 2 0 2 2
tpca 0.9 0.95 0.7 500 2 0 2 2
tpca 0.95 0.95 0.7 500 2 0 2 2
tpca 0.99 0.95 0.7 500 2 0 2 2
tpca 0.995 0.95 0.7 500 2 0 2 2
tpca 0.999 0.95 0.7 500 2 0 2 2
mix 0.03 0.95 0.7 500 4.832 0.919 3 5
mix 0.1 0.95 0.7 500 4.182 0.791 3 4
mix 0.3 0.95 0.7 500 3.824 0.711 3 4
mix 1 0.95 0.7 500 3.63 0.7 2 4
max_pca 1 0.95 1 500 1013.23 889.201 52.425 356.175
max_pca 2 0.95 1 500 28.656 10.438 13 27
max_pca 3 0.95 1 500 26.154 8.261 12.475 25
max_pca 5 0.95 1 500 23.468 6.63 12 22
max_pca 10 0.95 1 500 17.114 4.403 10 17
max_pca 20 0.95 1 500 9.41 2.13 6 9
min_pca 1 0.95 1 500 2 0 2 2
min_pca 2 0.95 1 500 2 0 2 2
