data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 1 200 200 96 150 9600 7679 11521
100 1 200 200 384 150 19200 17279 21121
100 1 200 200 384 148.62 19200 17279 21121
100 1 200 200 384 147.2527 12800 11519 14081
100 1 200 200 384 146.8404 6400 5759 7041
100 1 200 200 384 147.369 5486 4937 6035
100 1 200 200 384 148.0342 12800 11519 14081
100 1 200 200 384 147.6197 6400 5759 7041
100 1 200 200 384 148.1512 9600 8639 10561
100 1 200 200 1537 148.1512 15370 14601 16139
100 1 200 200 1537 147.7534 7685 7300 8070
100 1 200 200 1537 147.9244 7685 7300 8070
100 1 200 200 1537 148.0956 13973 13274 14672
100 1 200 200 1537 147.8014 6683 6348 7018
100 1 200 200 1537 148.0466 9041 8589 9493
100 1 200 200 1537 148.1176 7319 6953 7685
100 1 200 200 1537 148.3161 10979 10430 11528
100 1 200 200 1537 148.2435 15370 14601 16139
100 1 200 200 1537 147.8455 4803 4562 5044
100 1 200 200 1537 148.2296 8539 8112 8966
100 1 200 200 1537 148.3379 10979 10430 11528
100 1 200 200 1537 148.2653 6986 6636 7336
100 1 200 200 1537 148.4888 11823 11231 12415
100 1 200 200 1537 148.3534 9041 8589 9493
100 1 200 200 1537 148.4246 10247 9734 10760
100 1 200 200 6146 148.4246 13361 13026 13696
100 1 200 200 6146 148.2998 11175 10895 11455
100 1 200 200 6146 148.2563 8780 8560 9000
100 1 200 200 6146 148.3015 13658 13316 14000
100 1 200 200 6146 148.1659 9756 9512 10000
