data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
20 1 40 200 96 33 109 87 131
20 1 40 200 96 35.17602 157 125 189
20 1 40 200 96 37.48427 253 202 304
20 1 40 200 96 39.92 1067 853 1281
20 1 40 200 96 42.29737 1371 1096 1646
20 1 40 200 96 44.73059 2400 1920 2880
20 1 40 200 96 46.99694 48000 38398 57602
20 1 40 200 96 35.09105 178 142 214
20 1 40 200 96 37.38881 356 284 428
20 1 40 200 96 39.79266 1371 1096 1646
20 1 40 200 96 42.0818 9600 7679 11521
20 1 40 200 384 42.0818 3491 3141 3841
20 1 40 200 384 42.99484 5486 4937 6035
20 1 40 200 384 43.64177 5486 4937 6035
20 1 40 200 384 44.29843 6400 5759 7041
20 1 40 200 384 44.83001 9600 8639 10561
20 1 40 200 1537 44.83001 8539 8112 8966
20 1 40 200 1537 44.93917 15370 14601 16139
20 1 40 200 1537 44.53697 4154 3946 4362
20 1 40 200 1537 44.97091 11823 11231 12415
20 1 40 200 1537 44.83427 10247 9734 10760
20 1 40 200 6146 44.83427 13658 13316 14000
20 1 40 200 6146 44.6976 7064 6887 7241
20 1 40 200 6146 44.80696 8305 8097 8513
20 1 40 200 6146 44.87025 10417 10156 10678
20 1 40 200 6146 44.85466 15365 14980 15750
20 1 40 200 6146 44.65412 12292 11984 12600
20 1 40 200 6146 44.56883 8656 8439 8873
20 1 40 200 6146 44.61875 10075 9823 10327
