data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 0.03 200 200 96 30 4800 3839 5761
100 0.03 200 200 96 30.312 48000 38398 57602
100 0.03 200 200 96 28.00829 3200 2559 3841
100 0.03 200 200 96 28.3892 1600 1280 1920
100 0.03 200 200 96 28.86614 48000 38398 57602
100 0.03 200 200 96 26.67231 565 452 678
100 0.03 200 200 96 27.17562 9600 7679 11521
100 0.03 200 200 384 27.17562 1129 1016 1242
100 0.03 200 200 384 27.41669 1745 1570 1920
100 0.03 200 200 384 27.64302 2133 1919 2347
100 0.03 200 200 384 27.86049 1324 1191 1457
100 0.03 200 200 384 28.1022 2560 2304 2816
100 0.03 200 200 384 28.31128 1745 1570 1920
100 0.03 200 200 384 28.54499 3491 3141 3841
100 0.03 200 200 384 28.73079 2133 1919 2347
100 0.03 200 200 384 28.95682 3200 2879 3521
100 0.03 200 200 384 29.15373 6400 5759 7041
100 0.03 200 200 384 29.25868 6400 5759 7041
100 0.03 200 200 384 29.36401 3200 2879 3521
100 0.03 200 200 384 29.56369 12800 11519 14081
100 0.03 200 200 384 29.48091 6400 5759 7041
100 0.03 200 200 384 29.58704 3491 3141 3841
100 0.03 200 200 384 29.77962 3491 3141 3841
100 0.03 200 200 384 29.97346 7680 6911 8449
100 0.03 200 200 384 30.04299 7680 6911 8449
100 0.03 200 200 384 30.11269 7680 6911 8449
100 0.03 200 200 384 30.18256 5486 4937 6035
100 0.03 200 200 384 30.3188 6400 5759 7041
100 0.03 200 200 384 30.42795 9600 8639 10561
100 0.03 200 200 1537 30.42795 7685 7300 8070
100 0.03 200 200 1537 30.46317 13973 13274 14672
100 0.03 200 200 1537 30.40265 8089 7684 8494
100 0.03 200 200 1537 30.4317 9606 9125 10087
100 0.03 200 200 6146 30.4317 7495 7307 7683
100 0.03 200 200 6146 30.45076 12051 11749 12353
100 0.03 200 200 6146 30.43515 8780 8560 9000
100 0.03 200 200 6146 30.44443 12804 12483 13125
100 0.03 200 200 6146 30.42309 12051 11749 12353
100 0.03 200 200 6146 30.40749 7982 7782 8182
100 0.03 200 200 6146 30.42283 9913 9665 10161
