data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
20 0.1 40 200 96 33 96000 76796 115204
20 0.1 40 200 96 24.64 96000 76796 115204
20 0.1 40 200 96 18.39787 914 731 1097
20 0.1 40 200 96 19.56834 1920 1536 2304
20 0.1 40 200 96 20.74766 9600 7679 11521
20 0.1 40 200 96 21.46691 19200 15359 23041
20 0.1 40 200 384 21.46691 19200 17279 21121
20 0.1 40 200 1537 21.46691 13973 13274 14672
20 0.1 40 200 1537 21.57473 15370 14601 16139
20 0.1 40 200 1537 21.65797 13973 13274 14672
20 0.1 40 200 1537 21.76675 6148 5840 6456
20 0.1 40 200 1537 22.01801 15370 14601 16139
20 0.1 40 200 1537 22.10296 13973 13274 14672
20 0.1 40 200 1537 22.21397 8783 8343 9223
20 0.1 40 200 1537 22.42162 15370 14601 16139
20 0.1 40 200 1537 22.50813 25617 24336 26898
20 0.1 40 200 1537 22.40277 19212 18251 20173
20 0.1 40 200 6146 22.40277 18076 17624 18528
20 0.1 40 200 6146 22.42073 25608 24967 26249
20 0.1 40 200 6146 22.36834 18911 18438 19384
20 0.1 40 200 6146 22.37849 22763 22193 23333
20 0.1 40 200 6146 22.35273 18911 18438 19384
20 0.1 40 200 6146 22.36287 17814 17368 18260
20 0.1 40 200 6146 22.38324 18911 18438 19384
20 0.1 40 200 6146 22.39339 27316 26633 27999
20 0.1 40 200 6146 22.32513 22763 22193 23333
20 0.1 40 200 6146 22.29943 20487 19974 21000
