data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
10 0.03 20 200 96 21 48000 38398 57602
10 0.03 20 200 96 15.68 48000 38398 57602
10 0.03 20 200 96 11.70773 48000 38398 57602
10 0.03 20 200 96 8.74177 533 426 640
10 0.03 20 200 96 9.2935 686 548 824
10 0.03 20 200 96 9.87056 1371 1096 1646
10 0.03 20 200 96 10.43838 1920 1536 2304
10 0.03 20 200 96 11.00066 9600 7679 11521
10 0.03 20 200 384 11.00066 3491 3141 3841
10 0.03 20 200 384 11.23934 2133 1919 2347
10 0.03 20 200 384 11.53407 6400 5759 7041
10 0.03 20 200 384 11.67248 5486 4937 6035
10 0.03 20 200 384 11.84811 6400 5759 7041
10 0.03 20 200 384 11.99029 12800 11519 14081
10 0.03 20 200 384 11.87838 6400 5759 7041
10 0.03 20 200 384 12.02092 19200 17279 21121
10 0.03 20 200 384 11.65228 5486 4937 6035
10 0.03 20 200 384 11.82761 12800 11519 14081
10 0.03 20 200 384 11.71722 6400 5759 7041
10 0.03 20 200 384 11.85782 12800 11519 14081
10 0.03 20 200 384 11.74715 9600 8639 10561
