data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
10 0.1 20 200 96 21 48000 38398 57602
10 0.1 20 200 96 15.68 9600 7679 11521
10 0.1 20 200 384 15.68 7680 6911 8449
10 0.1 20 200 384 15.80126 7680 6911 8449
10 0.1 20 200 384 15.92346 192000 172796 211204
10 0.1 20 200 384 6.26323 100 90 110
10 0.1 20 200 384 6.46991 100 90 110
10 0.1 20 200 384 6.68342 100 90 110
10 0.1 20 200 384 6.90397 100 90 110
10 0.1 20 200 384 7.1318 101 90 112
10 0.1 20 200 384 7.36713 101 90 112
10 0.1 20 200 384 7.61022 101 90 112
10 0.1 20 200 384 7.86133 104 93 115
10 0.1 20 200 384 8.12065 107 96 118
10 0.1 20 200 384 8.38844 106 95 117
10 0.1 20 200 384 8.66509 115 103 127
10 0.1 20 200 384 8.95061 115 103 127
10 0.1 20 200 384 9.24553 130 117 143
10 0.1 20 200 384 9.54971 148 133 163
10 0.1 20 200 384 9.86332 148 133 163
