data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
132 0.3 497 200 96 100 712 569 855
132 0.3 497 200 96 101.9714 900 720 1080
132 0.3 497 200 96 103.9738 1704 1363 2045
132 0.3 497 200 96 105.982 2386 1908 2864
132 0.3 497 200 96 107.9999 11928 9542 14314
132 0.3 497 200 96 109.6415 4771 3816 5726
132 0.3 497 200 96 111.6238 11928 9542 14314
132 0.3 497 200 96 113.3205 23856 19083 28629
132 0.3 497 200 96 114.499 47712 38167 57257
132 0.3 497 200 384 114.499 95424 85879 104969
132 0.3 497 200 384 113.4457 190848 171759 209937
132 0.3 497 200 384 110.2238 11928 10735 13121
132 0.3 497 200 384 111.0615 10603 9542 11664
132 0.3 497 200 384 111.9352 38170 34352 41988
132 0.3 497 200 384 112.1949 31808 28626 34990
132 0.3 497 200 384 112.5988 23856 21469 26243
132 0.3 497 200 384 113.1843 38170 34352 41988
132 0.3 497 200 384 113.4468 17350 15614 19086
132 0.3 497 200 384 114.1853 63616 57253 69979
132 0.3 497 200 384 113.8656 47712 42939 52485
132 0.3 497 200 1537 113.8656 44935 42688 47182
132 0.3 497 200 1537 113.9202 38194 36284 40104
132 0.3 497 200 1537 114.052 31829 30237 33421
132 0.3 497 200 1537 114.2571 69444 65972 72916
132 0.3 497 200 1537 114.0301 69444 65972 72916
132 0.3 497 200 1537 113.8036 42438 40316 44560
132 0.3 497 200 1537 113.8868 44935 42688 47182
132 0.3 497 200 1537 113.9413 47743 45356 50130
132 0.3 497 200 6146 113.9413 42424 41363 43485
132 0.3 497 200 6146 113.9831 49267 48035 50499
