data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
500 0.03 1000 200 96 40 100 80 120
500 0.03 1000 200 96 40.792 100 80 120
500 0.03 1000 200 96 41.59968 100 80 120
500 0.03 1000 200 96 42.42336 100 80 120
500 0.03 1000 200 96 43.26334 100 80 120
500 0.03 1000 200 96 44.11995 100 80 120
500 0.03 1000 200 96 44.99353 100 80 120
500 0.03 1000 200 96 45.8844 100 80 120
500 0.03 1000 200 96 46.79291 100 80 120
500 0.03 1000 200 96 47.71941 100 80 120
500 0.03 1000 200 96 48.66425 100 80 120
500 0.03 1000 200 96 49.62781 100 80 120
500 0.03 1000 200 96 50.61044 100 80 120
500 0.03 1000 200 96 51.61252 100 80 120
500 0.03 1000 200 96 52.63445 100 80 120
500 0.03 1000 200 96 53.67661 100 80 120
500 0.03 1000 200 96 54.73941 100 80 120
500 0.03 1000 200 96 55.82325 100 80 120
500 0.03 1000 200 96 56.92855 100 80 120
500 0.03 1000 200 96 58.05574 100 80 120
500 0.03 1000 200 96 59.20524 100 80 120
500 0.03 1000 200 96 60.3775 100 80 120
500 0.03 1000 200 96 61.57298 100 80 120
500 0.03 1000 200 96 62.79212 100 80 120
500 0.03 1000 200 96 64.03541 100 80 120
500 0.03 1000 200 96 65.30331 100 80 120
500 0.03 1000 200 96 66.59631 100 80 120
500 0.03 1000 200 96 67.91492 100 80 120
500 0.03 1000 200 96 69.25964 100 80 120
500 0.03 1000 200 96 70.63098 101 80 122
500 0.03 1000 200 96 72.02933 100 80 120
500 0.03 1000 200 96 73.45551 104 83 125
500 0.03 1000 200 96 74.90934 130 104 156
500 0.03 1000 200 96 76.38805 141 112 170
500 0.03 1000 200 96 77.89427 192 153 231
500 0.03 1000 200 96 79.42225 274 219 329
500 0.03 1000 200 96 80.96717 436 348 524
500 0.03 1000 200 96 82.51591 800 640 960
500 0.03 1000 200 96 84.0342 1600 1280 1920
500 0.03 1000 200 96 85.44597 3200 2559 3841
500 0.03 1000 200 96 86.60804 9600 7679 11521
500 0.03 1000 200 384 86.60804 2743 2468 3018
500 0.03 1000 200 384 87.23655 4267 3840 4694
500 0.03 1000 200 384 87.73668 2954 2658 3250
500 0.03 1000 200 384 88.35487 19200 17279 21121
500 0.03 1000 200 384 87.54201 3840 3455 4225
500 0.03 1000 200 384 88.08127 9600 8639 10561
500 0.03 1000 200 1537 88.08127 5300 5035 5565
500 0.03 1000 200 1537 88.28826 5693 5408 5978
500 0.03 1000 200 1537 88.47839 6986 6636 7336
500 0.03 1000 200 1537 88.61172 8089 7684 8494
500 0.03 1000 200 1537 88.69639 10979 10430 11528
500 0.03 1000 200 1537 88.65298 5912 5616 6208
500 0.03 1000 200 1537 88.83418 5912 5616 6208
500 0.03 1000 200 1537 89.01576 8539 8112 8966
500 0.03 1000 200 1537 89.08079 6683 6348 7018
500 0.03 1000 200 1537 89.22853 10247 9734 10760
500 0.03 1000 200 6146 89.22853 8656 8439 8873
500 0.03 1000 200 6146 89.25851 8195 7990 8400
500 0.03 1000 200 6146 89.29878 9913 9665 10161
