data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
10 0.3 20 200 96 21 4800 3839 5761
10 0.3 20 200 96 21.728 48000 38398 57602
10 0.3 20 200 96 16.22357 505 404 606
10 0.3 20 200 96 17.25053 457 365 549
10 0.3 20 200 96 18.348 873 698 1048
10 0.3 20 200 96 19.46442 9600 7679 11521
10 0.3 20 200 384 19.46442 2743 2468 3018
10 0.3 20 200 384 19.93526 7680 6911 8449
10 0.3 20 200 384 20.08943 3491 3141 3841
10 0.3 20 200 384 20.5253 3200 2879 3521
10 0.3 20 200 384 20.99054 4800 4319 5281
10 0.3 20 200 384 21.35438 192000 172796 211204
10 0.3 20 200 384 8.39939 100 90 110
10 0.3 20 200 384 8.67657 100 90 110
10 0.3 20 200 384 8.9629 100 90 110
10 0.3 20 200 384 9.25867 100 90 110
10 0.3 20 200 384 9.56421 100 90 110
10 0.3 20 200 384 9.87983 100 90 110
10 0.3 20 200 384 10.20586 100 90 110
10 0.3 20 200 384 10.54265 100 90 110
10 0.3 20 200 384 10.89056 100 90 110
10 0.3 20 200 384 11.24995 100 90 110
10 0.3 20 200 384 11.6212 100 90 110
10 0.3 20 200 384 12.0047 102 91 113
