data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 0.3 300 200 96 80 1043 834 1252
100 0.3 300 200 96 81.58331 1333 1066 1600
100 0.3 300 200 96 83.19323 1714 1371 2057
100 0.3 300 200 96 84.82857 2667 2133 3201
100 0.3 300 200 96 86.4799 4800 3839 5761
100 0.3 300 200 96 88.12648 5333 4266 6400
100 0.3 300 200 96 89.79501 12000 9599 14401
100 0.3 300 200 96 91.3754 19200 15359 23041
100 0.3 300 200 96 92.85203 96000 76796 115204
100 0.3 300 200 384 92.85203 64000 57598 70402
100 0.3 300 200 384 93.18629 64000 57598 70402
100 0.3 300 200 384 93.52177 76800 69118 84482
100 0.3 300 200 384 93.73874 76800 69118 84482
100 0.3 300 200 384 93.95621 128000 115197 140803
100 0.3 300 200 384 93.69313 48000 43199 52801
100 0.3 300 200 384 94.18034 96000 86398 105602
100 0.3 300 200 1537 94.18034 61480 58406 64554
100 0.3 300 200 1537 94.36173 128083 121679 134487
100 0.3 300 200 1537 94.22923 69864 66371 73357
100 0.3 300 200 1537 94.37121 109786 104297 115275
100 0.3 300 200 1537 94.32504 153700 146016 161384
100 0.3 300 200 1537 94.07178 76850 73008 80692
100 0.3 300 200 1537 94.18066 76850 73008 80692
100 0.3 300 200 1537 94.28968 128083 121679 134487
100 0.3 300 200 1537 94.15728 96062 91259 100865
100 0.3 300 200 6146 94.15728 80868 78846 82890
100 0.3 300 200 6146 94.20232 76825 74904 78746
100 0.3 300 200 6146 94.2569 81947 79898 83996
100 0.3 300 200 6146 94.29944 104169 101564 106774
100 0.3 300 200 6146 94.28961 83054 80977 85131
