data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 1 300 200 96 9 1000 800 1200
100 1 300 200 96 9.594 1000 800 1200
100 1 300 200 96 10.2272 1000 800 1200
100 1 300 200 96 10.9022 1000 800 1200
100 1 300 200 96 11.62174 1000 800 1200
100 1 300 200 96 12.38878 1000 800 1200
100 1 300 200 96 13.20644 1000 800 1200
100 1 300 200 96 14.07806 1000 800 1200
100 1 300 200 96 15.00722 1000 800 1200
100 1 300 200 96 15.99769 1000 800 1200
100 1 300 200 96 17.05354 1000 800 1200
100 1 300 200 96 18.17907 1000 800 1200
100 1 300 200 96 19.37889 1000 800 1200
100 1 300 200 96 20.6579 1000 800 1200
100 1 300 200 96 22.02132 1000 800 1200
100 1 300 200 96 23.47473 1000 800 1200
100 1 300 200 96 25.02406 1000 800 1200
100 1 300 200 96 26.67565 1000 800 1200
100 1 300 200 96 28.43624 1000 800 1200
100 1 300 200 96 30.31303 1000 800 1200
100 1 300 200 96 32.31369 1000 800 1200
100 1 300 200 96 34.4464 1000 800 1200
100 1 300 200 96 36.71986 1000 800 1200
100 1 300 200 96 39.14337 1000 800 1200
100 1 300 200 96 41.72683 1000 800 1200
100 1 300 200 96 44.4808 1000 800 1200
100 1 300 200 96 47.41654 1000 800 1200
100 1 300 200 96 50.54603 1000 800 1200
100 1 300 200 96 53.88207 1000 800 1200
100 1 300 200 96 57.43828 1000 800 1200
100 1 300 200 96 61.22921 1000 800 1200
100 1 300 200 96 65.27034 1000 800 1200
100 1 300 200 96 69.57818 1000 800 1200
100 1 300 200 96 74.17034 1000 800 1200
100 1 300 200 96 79.06558 1000 800 1200
100 1 300 200 96 84.28391 1000 800 1200
100 1 300 200 96 89.84665 1000 800 1200
100 1 300 200 96 95.77653 1000 800 1200
100 1 300 200 96 102.0978 1000 800 1200
100 1 300 200 96 108.8362 1000 800 1200
100 1 300 200 96 116.0194 1000 800 1200
100 1 300 200 96 123.6767 1000 800 1200
100 1 300 200 96 131.8394 1000 800 1200
100 1 300 200 96 140.5408 1352 1081 1623
100 1 300 200 96 149.7835 12000 9599 14401
100 1 300 200 96 158.5708 96000 76796 115204
100 1 300 200 384 158.5708 192000 172796 211204
100 1 300 200 384 153.7079 38400 34559 42241
100 1 300 200 384 156.8641 96000 86398 105602
100 1 300 200 1537 156.8641 128083 121679 134487
100 1 300 200 1537 156.1299 109786 104297 115275
100 1 300 200 1537 155.8752 96062 91259 100865
100 1 300 200 6146 155.8752 97556 95117 99995
100 1 300 200 6146 155.907 109750 107006 112494
100 1 300 200 6146 155.7803 67538 65849 69227
100 1 300 200 6146 156.2017 118192 115237 121147
100 1 300 200 6146 155.9649 96031 93630 98432
