data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
500 1 1000 200 96 160 100 80 120
500 1 1000 200 96 163.168 100 80 120
500 1 1000 200 96 166.3987 100 80 120
500 1 1000 200 96 169.6934 100 80 120
500 1 1000 200 96 173.0533 100 80 120
500 1 1000 200 96 176.4798 100 80 120
500 1 1000 200 96 179.9741 100 80 120
500 1 1000 200 96 183.5376 100 80 120
500 1 1000 200 96 187.1716 100 80 120
500 1 1000 200 96 190.8776 100 80 120
500 1 1000 200 96 194.657 100 80 120
500 1 1000 200 96 198.5112 100 80 120
500 1 1000 200 96 202.4418 100 80 120
500 1 1000 200 96 206.4501 100 80 120
500 1 1000 200 96 210.5378 100 80 120
500 1 1000 200 96 214.7064 100 80 120
500 1 1000 200 96 218.9576 100 80 120
500 1 1000 200 96 223.293 100 80 120
500 1 1000 200 96 227.7142 100 80 120
500 1 1000 200 96 232.2229 100 80 120
500 1 1000 200 96 236.821 100 80 120
500 1 1000 200 96 241.51 100 80 120
500 1 1000 200 96 246.2919 100 80 120
500 1 1000 200 96 251.1685 100 80 120
500 1 1000 200 96 256.1416 100 80 120
500 1 1000 200 96 261.2132 100 80 120
500 1 1000 200 96 266.3852 100 80 120
500 1 1000 200 96 271.6597 100 80 120
500 1 1000 200 96 277.0385 100 80 120
500 1 1000 200 96 282.5239 100 80 120
500 1 1000 200 96 288.1179 100 80 120
500 1 1000 200 96 293.8226 100 80 120
500 1 1000 200 96 299.6403 100 80 120
500 1 1000 200 96 305.5732 100 80 120
500 1 1000 200 96 311.6235 100 80 120
500 1 1000 200 96 317.7937 100 80 120
500 1 1000 200 96 324.086 100 80 120
500 1 1000 200 96 330.5029 100 80 120
500 1 1000 200 96 337.0469 100 80 120
500 1 1000 200 96 343.7204 100 80 120
500 1 1000 200 96 350.526 100 80 120
500 1 1000 200 96 357.4665 100 80 120
500 1 1000 200 96 364.5443 100 80 120
500 1 1000 200 96 371.7623 100 80 120
500 1 1000 200 96 379.1232 100 80 120
500 1 1000 200 96 386.6298 100 80 120
500 1 1000 200 96 394.2851 100 80 120
500 1 1000 200 96 402.0919 100 80 120
500 1 1000 200 96 410.0533 100 80 120
500 1 1000 200 96 418.1724 100 80 120
500 1 1000 200 96 426.4522 100 80 120
500 1 1000 200 96 434.896 100 80 120
500 1 1000 200 96 443.5069 100 80 120
500 1 1000 200 96 452.2883 100 80 120
500 1 1000 200 96 461.2436 100 80 120
500 1 1000 200 96 470.3763 100 80 120
500 1 1000 200 96 479.6897 100 80 120
500 1 1000 200 96 489.1876 100 80 120
500 1 1000 200 96 498.8735 100 80 120
500 1 1000 200 96 508.7512 100 80 120
500 1 1000 200 96 518.8245 100 80 120
500 1 1000 200 96 529.0972 100 80 120
500 1 1000 200 96 539.5733 100 80 120
500 1 1000 200 96 550.2569 100 80 120
500 1 1000 200 96 561.1519 126 100 152
500 1 1000 200 96 572.2336 192 153 231
500 1 1000 200 96 583.4585 738 590 886
500 1 1000 200 96 594.2665 3200 2559 3841
500 1 1000 200 96 602.3485 3200 2559 3841
500 1 1000 200 96 610.5404 48000 38398 57602
500 1 1000 200 96 564.1394 141 112 170
500 1 1000 200 96 575.2631 291 232 350
500 1 1000 200 96 586.4335 686 548 824
500 1 1000 200 96 597.3576 48000 38398 57602
500 1 1000 200 96 551.9584 103 82 124
500 1 1000 200 96 562.8839 122 97 147
500 1 1000 200 96 574.0042 310 248 372
500 1 1000 200 96 585.1285 800 640 960
500 1 1000 200 96 595.8948 1920 1536 2304
500 1 1000 200 96 605.5245 48000 38398 57602
500 1 1000 200 96 559.5046 112 89 135
500 1 1000 200 96 570.5694 218 174 262
500 1 1000 200 96 581.732 686 548 824
500 1 1000 200 96 592.5685 2400 1920 2880
500 1 1000 200 96 601.5755 3200 2559 3841
500 1 1000 200 96 609.757 48000 38398 57602
500 1 1000 200 96 563.4154 143 114 172
500 1 1000 200 96 574.5226 331 264 398
500 1 1000 200 96 585.6327 1067 853 1281
500 1 1000 200 96 596.0956 4800 3839 5761
500 1 1000 200 96 602.295 48000 38398 57602
500 1 1000 200 96 556.5206 103 82 124
500 1 1000 200 96 567.5364 163 130 196
500 1 1000 200 96 578.7021 457 365 549
500 1 1000 200 96 589.7472 3200 2559 3841
500 1 1000 200 96 597.7678 9600 7679 11521
500 1 1000 200 384 597.7678 4800 4319 5281
500 1 1000 200 384 600.8762 6400 5759 7041
500 1 1000 200 384 603.0393 19200 17279 21121
500 1 1000 200 384 597.4914 9600 8639 10561
500 1 1000 200 1537 597.4914 4269 4055 4483
500 1 1000 200 1537 599.2035 6404 6083 6725
500 1 1000 200 1537 600.2808 9606 9125 10087
500 1 1000 200 6146 600.2808 9603 9362 9844
500 1 1000 200 6146 600.3404 7405 7219 7591
500 1 1000 200 6146 600.7299 9312 9079 9545
500 1 1000 200 6146 600.8332 9756 9512 10000
