data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 0.1 200 200 96 55 48000 38398 57602
100 0.1 200 200 96 50.82 4800 3839 5761
100 0.1 200 200 96 51.34853 3200 2559 3841
100 0.1 200 200 96 52.04687 9600 7679 11521
100 0.1 200 200 384 52.04687 6400 5759 7041
100 0.1 200 200 384 52.23424 2954 2658 3250
100 0.1 200 200 384 52.60228 5486 4937 6035
100 0.1 200 200 384 52.83973 9600 8639 10561
100 0.1 200 200 1537 52.83973 12808 12167 13449
100 0.1 200 200 1537 52.76554 9041 8589 9493
100 0.1 200 200 1537 52.79084 7685 7300 8070
100 0.1 200 200 1537 52.85195 8089 7684 8494
100 0.1 200 200 1537 52.90245 7685 7300 8070
100 0.1 200 200 1537 52.96368 10979 10430 11528
100 0.1 200 200 1537 52.93775 10247 9734 10760
100 0.1 200 200 6146 52.93775 10075 9823 10327
