data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
132 0.1 497 200 96 65 15904 12722 19086
132 0.1 497 200 96 65.884 11928 9542 14314
132 0.1 497 200 96 66.88544 15904 12722 19086
132 0.1 497 200 96 67.79508 238560 190839 286281
132 0.1 497 200 96 62.64265 4771 3816 5726
132 0.1 497 200 96 63.77524 6816 5452 8180
132 0.1 497 200 96 64.87582 11928 9542 14314
132 0.1 497 200 96 65.86193 23856 19083 28629
132 0.1 497 200 96 66.54689 15904 12722 19086
132 0.1 497 200 96 67.45193 238560 190839 286281
132 0.1 497 200 96 62.32558 3408 2726 4090
132 0.1 497 200 96 63.48662 3976 3180 4772
132 0.1 497 200 96 64.65477 15904 12722 19086
132 0.1 497 200 96 65.53408 11928 9542 14314
132 0.1 497 200 96 66.5302 238560 190839 286281
132 0.1 497 200 96 61.4739 2511 2008 3014
132 0.1 497 200 96 62.64126 4771 3816 5726
132 0.1 497 200 96 63.77382 4771 3816 5726
132 0.1 497 200 96 64.92686 23856 19083 28629
132 0.1 497 200 96 65.6021 6816 5452 8180
132 0.1 497 200 96 66.7342 47712 38167 57257
132 0.1 497 200 384 66.7342 27264 24537 29991
132 0.1 497 200 384 67.03546 47712 42939 52485
132 0.1 497 200 1537 67.03546 36376 34557 38195
132 0.1 497 200 1537 67.12532 27282 25918 28646
132 0.1 497 200 1537 67.27671 34722 32986 36458
132 0.1 497 200 1537 67.37808 26341 25024 27658
132 0.1 497 200 1537 67.53642 40205 38195 42215
132 0.1 497 200 1537 67.60093 58761 55823 61699
132 0.1 497 200 1537 67.53931 29380 27911 30849
132 0.1 497 200 1537 67.67738 54564 51836 57292
132 0.1 497 200 1537 67.64426 40205 38195 42215
132 0.1 497 200 1537 67.70888 31829 30237 33421
132 0.1 497 200 1537 67.83061 30556 29028 32084
132 0.1 497 200 1537 67.96125 58761 55823 61699
132 0.1 497 200 1537 67.8993 44935 42688 47182
132 0.1 497 200 1537 67.93185 36376 34557 38195
132 0.1 497 200 1537 68.0229 44935 42688 47182
132 0.1 497 200 1537 68.05551 44935 42688 47182
132 0.1 497 200 1537 68.08814 33213 31552 34874
132 0.1 497 200 1537 68.20107 47743 45356 50130
132 0.1 497 200 6146 68.20107 51772 50477 53067
132 0.1 497 200 6146 68.19396 55537 54148 56926
132 0.1 497 200 6146 68.17394 39670 38678 40662
132 0.1 497 200 6146 68.20834 50075 48823 51327
