data_dim p0 n_training window_size n_sim threshold arl_est arl_lower arl_upper
20 0.03 40 200 96 33 96000 76796 115204
20 0.03 40 200 96 24.64 96000 76796 115204
20 0.03 40 200 96 18.39787 96000 76796 115204
20 0.03 40 200 96 13.73707 6400 5119 7681
20 0.03 40 200 96 14.35982 6400 5119 7681
20 0.03 40 200 96 15.0108 19200 15359 23041
20 0.03 40 200 384 15.0108 12800 11519 14081
20 0.03 40 200 384 15.19093 8533 7679 9387
20 0.03 40 200 384 15.48125 38400 34559 42241
20 0.03 40 200 384 15.00649 12800 11519 14081
20 0.03 40 200 384 15.18657 10971 9873 12069
20 0.03 40 200 384 15.41511 38400 34559 42241
20 0.03 40 200 384 14.94238 6400 5759 7041
20 0.03 40 200 384 15.28107 9600 8639 10561
20 0.03 40 200 384 15.54594 19200 17279 21121
20 0.03 40 200 1537 15.54594 16179 15370 16988
20 0.03 40 200 1537 15.59544 9916 9420 10412
20 0.03 40 200 1537 15.7265 13365 12696 14034
20 0.03 40 200 1537 15.81345 15370 14601 16139
20 0.03 40 200 1537 15.87446 34156 32448 35864
20 0.03 40 200 1537 15.6872 13973 13274 14672
20 0.03 40 200 1537 15.76599 15370 14601 16139
20 0.03 40 200 1537 15.82682 20493 19468 21518
20 0.03 40 200 6146 15.82682 17814 17368 18260
20 0.03 40 200 6146 15.84123 11074 10797 11351
20 0.03 40 200 6146 15.90015 19511 19023 19999
20 0.03 40 200 6146 15.90339 24584 23969 25199
20 0.03 40 200 6146 15.87301 17814 17368 18260
20 0.03 40 200 6146 15.88747 21950 21401 22499
20 0.03 40 200 6146 15.87456 17560 17121 17999
20 0.03 40 200 6146 15.8907 14990 14615 15365
20 0.03 40 200 6146 15.92387 29267 28535 29999
20 0.03 40 200 6146 15.86239 19206 18725 19687
20 0.03 40 200 6146 15.86764 15759 15365 16153
20 0.03 40 200 6146 15.89567 15365 14980 15750
20 0.03 40 200 6146 15.92637 22763 22193 23333
20 0.03 40 200 6146 15.90804 25608 24967 26249
20 0.03 40 200 6146 15.87087 16838 16417 17259
