axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 51.18032
1-2-3-4-5-6-7-8-9-10 38.00225
1-2-3-4-5 26.83432
1-2-3 20.85844
1-2 17.29577
1 13.13122
100-99-98-97-96-95-94-93-92-90-91-89 488.61699
100-99-98-97-96-95-94-93-92-90-91 454.68217
100-99-98-97-96-95-94-93-92-90 419.79138
100-99-98-97-96-95-94-93 351.62694
100-99-98-97-96-95-94 319.92894
100-99-98-97-96-95 284.68047
100 65.79989
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 728.86267
91-92-93-94-95-96-97-98-99-100 424.89792
96-97-98-99-100 238.43773
98-99-100 156.20195
99-100 112.24723
