axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 50.91863
1-2-3-4-5-6-7-8-9-10 36.84433
1-2-3-4-5 26.49796
1-2-3 20.75439
1-2 17.02595
1 12.87861
100 66.16088
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 738.79214
91-92-93-94-95-96-97-98-99-100 422.76898
96-97-98-99-100 233.91072
97-99-96-95-98-94-93-100-91-92-90-89-86 518.98234
97-99-96-95-98-94-93-100-91-92-90 456.90899
97-99-96-95-98-94-93-100 352.49754
97-99-96-95-98-94-93 311.58043
97-99-96-95-98 229.41201
98-99-100 156.41277
99-100 110.25724
