axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 50.58396
1-2-3-4-5-6-7-8-9-10 36.64096
1-2-3-4-5 25.99935
1-2-3 20.78422
1-2 16.8866
1 13.28334
100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87-88-90 705.79783
100-99-98-95-97-96-94-93-92-91-89-83-82-85-86-87 637.38835
100-99-98-95-97-96-94-93-92-91-89-83-82 549.53343
100-99-98-95-97-96-94-93 381.71745
100-99-98-95-97-96-94 344.01083
100-99-98-95-97 262.03018
100-99-98-97-95-94-96-84 370.62926
100-99-98-97-95-94 300.58671
100-99-98-97-95-96-91 346.51827
100-99-98-97 223.04825
100 71.02142
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 757.48689
91-92-93-94-95-96-97-98-99-100 463.53931
96-97-98-99-100 267.02844
98-99-100 173.67248
99-100 127.97887
