axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 49.95789
1-2-3-4-5-6-7-8-9-10 36.1097
1-2-3-4-5 26.38647
1-2-3 20.70088
1-2 17.32304
1 13.26387
100 66.21772
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 733.76443
91-92-93-94-95-96-97-98-99-100 429.63892
96-97-98-99-100 247.48155
98-99-100 153.37289
99-100 110.77612
99-98-97-100-96-94-95-93-92-91-90-85 491.80714
99-98-97-100-96-94-95-93-92-91-90 463.64143
99-98-97-100-96-94-95-93 361.20362
99-98-97-100-96-94-95 326.9968
