axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 57.16157
1-2-3-4-5-6-7-8-9-10 42.33388
1-2-3-4-5 30.14542
1-2-3 22.70282
1-2 18.38502
1 13.68871
100-99-98-96-97-95-90-92-93-94-91-87-85-89-84 690.54976
100-99-98-96-97-95-90-92-93-94-91-87-85 629.32175
100-99-98-96-97-95-90-92-93-94-91-87 601.5497
100-99-98-97-96-95-92-94-89-91-93-87-90-85-69-74 697.11229
100-99-98-97-96-95-92-94-89-91-93-87-90 635.53966
100-99-98-97-96-95-92-94-89-91-93-87 598.2761
100-99-98-97-96-95-94-93-91-92-90-89-86-87-88-85-82-84-80-81 829.8104
100-99-98-97-96-95-94-93-91-92-90-89-86-87-88-85 727.42578
100-99-98-97-96-95-94-93-91-92-90-89-86 633.17971
100-99-98-97-96-95-94-93-91 493.52927
100-99-98-97-96-95 370.81203
100 93.88135
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 832.92463
91-92-93-94-95-96-97-98-99-100 534.36897
96-97-98-99-100 325.21209
98-99-100 219.99286
99-100 160.0092
