axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 50.96427
1-2-3-4-5-6-7-8-9-10 37.3287
1-2-3-4-5 26.76808
1-2-3 20.1319
1-2 16.5842
1 12.52855
100 67.92166
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 733.96042
91-92-93-94-95-96-97-98-99-100 429.74572
96-97-98-99-100 245.88396
98-99-100 154.88933
99-100 112.5414
99-98-100-97-96-95-94-93-91-92-90-89 501.61021
99-98-100-97-96-95-94-93-91-92-90 465.08144
99-98-100-97-96-95-94-93 355.66686
99-98-100-97-96-95-94 317.83824
99-98-100-97-96-95 279.89358
