axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 52.49126
1-2-3-4-5-6-7-8-9-10 39.02655
1-2-3-4-5 28.16338
1-2-3 21.49086
1-2 17.38116
1 13.00884
100 66.14076
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 730.67651
91-92-93-94-95-96-97-98-99-100 424.83008
96-97-98-99-100 240.71701
98-99-100 157.46646
99-100 110.9615
99-98-100-96-97-95-94-93-92-91-90-88 491.87292
99-98-100-96-97-95-94-93-92-91-90 459.89067
99-98-100-96-97-95-94-93 355.57931
99-98-100-96-97-95-94 317.64619
99-98-100-96-97-95 278.38702
