axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 60.96942
1-2-3-4-5-6-7-8-9-10 45.82479
1-2-3-4-5 31.84395
1-2-3 23.85387
1-2 19.30805
1 13.78808
100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 773.56016
100-99-97-98-96-95-92-93-94-91-89-90-86-87 686.20676
100-99-97-98-96-95-94-89-91-93-92-86-85-87-90-81-82-83 787.13208
100-99-97-98-96-95-94-89-91-93-92-86-85-87-90 714.35058
100-99-97-98-96-95-94-89-91-93-92-86 615.46858
100-99-97-98-96-95-94-89 467.07445
100-99-97-98-96-95 386.74151
100-99-97-98 290.06425
100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 779.57099
100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82 735.86715
100-99-98-97-95-96-94-93-92-89-91-90-83-85 679.04803
100-99-98-97-95-96-94-93 475.36345
100 100.62803
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 850.45728
91-92-93-94-95-96-97-98-99-100 551.90664
96-97-98-99-100 338.46451
98-99-100 232.82594
99-100 171.0395
