axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 53.41233
1-2-3-4-5-6-7-8-9-10 39.03236
1-2-3-4-5 27.44921
1-2-3 21.51522
1-2 17.74729
1 13.03664
100-99-98-96-95-97-94-93-91-92-90-86-85-88-89-87-84-80-82-83 791.23769
100-99-98-96-95-97-94-93-91-92-90-86-85-88-89-87-84-80 744.36337
100-99-98-96-95-97-94-93-91-92-90-86-85 589.16336
100-99-98-96-95-97-94-93-91 453.53762
100-99-98-96-95-97-94 374.93996
100-99-98-97-96-92-95-88-89-93-94-84-85 579.33829
100-99-98-97-96-92-95-88-89-93 482.97936
100-99-98-97-96-92-95-88 406.85861
100-99-98-97-96-95-93-94-92-86-89 519.35311
100-99-98-97-96-95-93-94-92 455.64765
100-99-98-97-96-95-93-94 414.40211
100 84.69986
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 792.29568
91-92-93-94-95-96-97-98-99-100 492.43879
96-97-98-99-100 291.05076
98-99-100 193.74342
99-100 142.35746
