axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 49.89098
1-2-3-4-5-6-7-8-9-10 35.49263
1-2-3-4-5 25.2473
1-2-3 19.79788
1-2 16.68696
1 12.97642
100-99-97-98-95-96-94-93-92-91-89-90 490.94996
100-99-97-98-95-96-94-93-92-91-89 464.4832
100-99-97-98-95-96-94-93 363.32271
100-99-97-98-95-96 282.0745
100-99-97-98-95 237.1667
100-99-98-97 197.33283
100 66.08603
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 734.17682
91-92-93-94-95-96-97-98-99-100 429.16698
96-97-98-99-100 245.62142
98-99-100 158.40621
99-100 112.76316
