axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 51.42861
1-2-3-4-5-6-7-8-9-10 37.61544
1-2-3-4-5 26.42155
1-2-3 20.27339
1-2 16.88229
1 12.92858
100 66.32828
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 742.54966
91-92-93-94-95-96-97-98-99-100 437.19353
96-97-98-99-100 237.94984
98-99-100 152.02487
98-99-97-96-100-95-94-93-92-90-91-88 502.1319
98-99-97-96-100-95-94-93-92-90-91 468.79694
98-99-97-96-100-95-94-93-92-90 432.61427
98-99-97-96-100-95-94 314.27812
98-99-97-96-100-95 273.81627
99-100 111.427
