axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 52.85959
1-2-3-4-5-6-7-8-9-10 38.30537
1-2-3-4-5 27.31822
1-2-3 21.1639
1-2 17.58501
1 13.27202
100-99-98-97-92-93-94-96-88 424.98206
100-99-98-97-92-93-94 345.00679
100-99-98-97-93-96-95 358.04171
100-99-98-97-93 265.72846
100-99-98-97-96-95-93-94-91-92-89-88-90-85-83-87-82-86-80 746.82303
100-99-98-97-96-95-93-94-91-92-89-88-90-85-83-87-82 690.26534
100-99-98-97-96-95-93-94-91-92-89-88-90-85-83 632.71285
100-99-98-97-96-95-93-94 396.37806
100-99-98-97-96-95 319.39254
100-99-98-97 225.36148
100 76.66655
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 777.70937
91-92-93-94-95-96-97-98-99-100 472.38726
96-97-98-99-100 275.00274
98-99-100 179.11331
99-100 131.67428
