axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40 137.06526
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 89.09832
1-2-3-4-5-6-7-8-9-10 54.55812
1-2-3-4-5 34.30609
1-2-3 25.09127
1-2 19.94928
1 13.9259
461-462-463-464-465-466-467-468-469-470-471-472-473-474-475-476-477-478-479-480-481-482-483-484-485-486-487-488-489-490-491-492-493-494-495-496-497-498-499-500 2712.18771
474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497-500-453-457-460-458 3148.74607
474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461-498-455-456-462-494-499-459-492-497 2812.13614
474-477-485-476-479-467-470-480-473-475-481-471-466-468-472-483-487-489-478-491-465-469-482-486-488-484-493-495-463-464-490-496-461 2249.37388
481-482-483-484-485-486-487-488-489-490-491-492-493-494-495-496-497-498-499-500 1425.4654
491-492-493-494-495-496-497-498-499-500 764.54982
496-497-498-499-500 416.23203
498-499-500 263.06754
499-500 190.90474
500 107.58652
