axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 58.30706
1-2-3-4-5-6-7-8-9-10 43.49161
1-2-3-4-5 30.96215
1-2-3 23.41675
1-2 18.6731
1 13.4699
100-99-98-97-96-94-92-95-93-88-91-85-90-65-86-87 717.35661
100-99-98-97-96-94-92-95-93-88-91-85-90 643.94742
100-99-98-97-96-94-92-95-93-88-91 577.96052
100-99-98-97-96-94 374.58203
100-99-98-97-96-95-93-94-92-91-90-88-85-89 678.82357
100-99-98-97-96-95-93-94-92-91-90-88 615.63232
100-99-98-97-96-95-93-94-92-91-90 581.08231
100-99-98-97-96-95-93 419.79962
100-99-98-97 275.31232
100 96.41357
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 845.30136
91-92-93-94-95-96-97-98-99-100 545.07528
96-97-98-99-100 327.64794
98-99-100 220.97116
99-100-98-97-96-95-93-94-92-90-91-88-89-84-87-85-81-86-83-77 836.56968
99-100-98-97-96-95-93-94-92-90-91-88-89-84-87-85-81 763.52506
99-100-98-97-96-95-93-94-92-90-91-88-89 650.03246
99-100-98-97-96-95-93-94-92 506.5144
99-100 162.17006
