axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 58.07191
1-2-3-4-5-6-7-8-9-10 43.22016
1-2-3-4-5 30.48156
1-2-3 23.44658
1-2 19.0732
1 13.95433
100-99-97-98-96-94-92-95-91-88-90-79-85 604.14596
100-99-97-98-96-94-92-95-91-88 513.65301
100-99-97-98-96-94-92-95 440.37256
100-99-97-98-96-95-92-93-91-94-90-86-87 624.67785
100-99-97-98-96-95-92-93-91 477.13994
100-99-97-98-96-95-94-93-91-92-90-85-88-89-86-87-81-82-83-80 827.80771
100-99-97-98-96-95-94-93-91-92-90-85-88-89-86-87-81-82-83 801.84702
100-99-97-98-96-95-94-93-91-92-90-85-88-89 661.10194
100-99-97-98-96-95-94 398.01207
100-99-97-98 256.19117
100-99-97 201.17131
100 85.62639
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 832.95089
91-92-93-94-95-96-97-98-99-100 520.02295
96-97-98-99-100 304.99028
98-99-100 204.58578
99-100 149.33937
