axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 49.43071
1-2-3-4-5-6-7-8-9-10 36.09965
1-2-3-4-5 26.25807
1-2-3 20.75685
1-2 17.33819
1 13.1666
100 66.26529
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 741.87121
91-92-93-94-95-96-97-98-99-100 419.05121
96-95-98-97-99-94-100-92-93-91-90-88-89 518.29033
96-95-98-97-99-94-100-92-93-91-90 454.37054
96-95-98-97-99-94-100-92-93 376.82771
96-95-98-97-99-94-100-92 339.26749
96-95-98-97-99-94 267.42092
96-97-98-99-100 232.87811
98-99-100 154.05967
99-100 111.62829
