axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 55.3592
1-2-3-4-5-6-7-8-9-10 40.94344
1-2-3-4-5 28.94861
1-2-3 22.35843
1-2 18.4135
1 13.52878
100-99-97-98-96-95-92-94-90-91-93-89-80-87-88 683.60306
100-99-97-98-96-95-92-94-90-91-93-89-80 620.82216
100-99-97-98-96-95-92-94-90-91-93-89 599.64832
100-99-97-98-96-95-92 410.60417
100-99-97 214.58271
100-99-98-96-97-92-95-89-94-88-91-93-90-80-83-84-86 736.44906
100-99-98-96-97-92-95-89-94-88-91-93-90 632.22044
100-99-98-96-97-92-95-89-94-88-91 554.5817
100-99-98-96 270.49162
100-99-98-97-96-95-94-92-90-91-93-88-89-86-85-87-82-84-76-78 808.35775
100-99-98-97-96-95-94-92-90-91-93-88-89-86-85 686.12757
100-99-98-97-96-95-94-92-90-91-93-88 598.31303
100-99-98-97-96-95-94-92-90 491.28053
100 93.01376
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 820.2378
91-92-93-94-95-96-97-98-99-100 533.46071
96-97-98-99-100 323.61258
98-99-100 217.92327
99-100 157.71509
