axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 50.80329
1-2-3-4-5-6-7-8-9-10 37.09122
1-2-3-4-5 26.62855
1-2-3 20.65807
1-2 17.01351
1 12.81966
100-99-98-97-96-95-94-91-92-93-90-89-86 528.60469
100-99-98-97-96-95-94-91-92-93-90 462.08645
100-99-98-97-96-95-94-91 350.48686
100-99-98-97-96-95-94 316.51118
100-99-98-97-96-95 285.31862
100 66.44981
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 734.01537
91-92-93-94-95-96-97-98-99-100 431.47565
96-97-98-99-100 243.82543
98-99-100 159.17321
99-100 112.85699
