axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 50.54088
1-2-3-4-5-6-7-8-9-10 36.69718
1-2-3-4-5 26.27202
1-2-3 20.51388
1-2 17.03112
1 13.16757
100 66.27282
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 729.23793
91-92-93-94-95-96-97-98-99-100 434.14721
96-97-98-99-100 242.95499
98-99-100 157.10103
99-100-98-97-96-95-94-93-92-90-91-87-86-88 558.54329
99-100-98-97-96-95-94-93-92-90-91 466.9799
99-100-98-97-96-95-94-93 364.24236
99-100-98-97-96-95-94 329.76778
99-100 111.21914
