axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 49.66046
1-2-3-4-5-6-7-8-9-10 35.82103
1-2-3-4-5 25.76877
1-2-3 20.06268
1-2 16.75274
1 12.74731
100-97-98-96-99-95-94-93-92-91-90-89-88 526.67416
100-97-98-96-99-95-94-93-92-91-90-89 492.52255
100-97-98-96-99-95-94-93-92-91-90 465.1053
100-97-98-96-99-95-94-93 359.50467
100-97-98-96-99-95-94 315.94401
100-97-98-96-99-95 278.70314
100 65.77767
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 724.87462
91-92-93-94-95-96-97-98-99-100 432.08419
96-97-98-99-100 235.2339
98-99-100 155.56941
99-100 117.02473
