axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 49.82053
1-2-3-4-5-6-7-8-9-10 35.88225
1-2-3-4-5 25.27254
1-2-3 19.76757
1-2 16.60787
1 12.70972
100-99-95-97 195.07716
100-99-97-98-96-95-94-93-92-90-91-88 505.84067
100-99-97-98-96-95-94-93-92-90 437.54424
100-99-97-98-96-95-94-93-92 400.95896
100-99-97-98-96-95-94 319.59411
100-99-97-98-96-95 283.71702
100 66.33063
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 734.08326
91-92-93-94-95-96-97-98-99-100 438.60321
96-97-98-99-100 239.29683
98-99-100 163.02894
99-100 113.2538
