axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 50.20624
1-2-3-4-5-6-7-8-9-10 36.4881
1-2-3-4-5 26.45608
1-2-3 20.72995
1-2 16.95529
1 12.99734
100-97-99-98-92 245.04029
100-97 106.45661
100-99-97-98-95 252.66428
100-99-97-98-96-95-94-93-92-91-89-90 519.244
100-99-97-98-96-95-94-93-92-91-89 478.67048
100-99-97-98-96-95-94 337.83779
100-99-97-98-96-95 297.68134
100-99-97-98 207.65997
100-99-97 162.68055
100 67.93058
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 756.92103
91-92-93-94-95-96-97-98-99-100 444.69563
96-97-98-99-100 254.58804
98-99-100 171.48512
99-100 125.1764
