axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 55.09206
1-2-3-4-5-6-7-8-9-10 40.75892
1-2-3-4-5 28.55923
1-2-3 21.88228
1-2 17.89529
1 13.36499
100-99-98-97-96-95-93-94-88 462.16491
100-99-98-97-96-95-93-94-92-90-91-87-89-88-85-86-84-80-75-76 797.26417
100-99-98-97-96-95-93-94-92-90-91-87-89-88-85-86-84-80-75 774.91252
100-99-98-97-96-95-93-94-92-90-91-87-89-88-85-86-84 731.78759
100-99-98-97-96-95-93-94-92-90-91-87-89 611.43699
100-99-98-97-96-95-93-94-92-90 502.223
100-99-98-97-96-95-93-94 426.58038
100-99-98-97-96-95-93 384.03033
100-99-98-97-96-95-94-93-89-92-85 530.82821
100-99-98-97-96-95-94-93-89 461.5037
100-99-98-97-96-95-94 386.47559
100 88.49457
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 813.20879
91-92-93-94-95-96-97-98-99-100 503.9676
96-97-98-99-100 298.91269
98-99-100 204.32292
99-100 150.25217
