axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 58.31867
1-2-3-4-5-6-7-8-9-10 42.85983
1-2-3-4-5 29.17392
1-2-3 22.28861
1-2 18.14498
1 13.52583
100-99-98-97-96-95-93-94-90-80-92-91-71-88 652.34269
100-99-98-97-96-95-93-94-90-80-92-91 603.82852
100-99-98-97-96-95-93-94-90-80-92 565.82728
100-99-98-97-96-95-94-92-93-89-88-91-86-90-81-85 731.06963
100-99-98-97-96-95-94-92-93-89-88-91-86 644.19716
100-99-98-97-96-95-94-92-93-89-88 574.19541
100-99-98-97-96-95-94-93-91-92-90-89-88-86-87-85-82-80-83-81 840.71111
100-99-98-97-96-95-94-93-91-92-90-89-88-86-87-85-82 764.75135
100-99-98-97-96-95-94-93-91-92-90-89-88 646.58831
100-99-98-97-96-95-94 423.39429
100-99-98-97-96-95 377.36271
100-99-98-97 278.91726
100 97.90321
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 842.0142
91-92-93-94-95-96-97-98-99-100 541.82912
96-97-98-99-100 330.62792
98-99-100 224.37177
99-100 163.91071
