axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 50.46422
1-2-3-4-5-6-7-8-9-10 36.67782
1-2-3-4-5 26.90437
1-2-3 20.88116
1-2 17.20645
1 12.65721
100-97-99-98-96-95-94-93-92-91-89-90 497.7549
100-97-99-98-96-95-94-93-92-91-89 461.22902
100-97-99-98-96-95-94-93 353.85533
100-97-99-98-96-95-94 319.67754
100-97-99-98-96-95 278.93207
100 65.9107
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 737.23984
91-92-93-94-95-96-97-98-99-100 426.73185
96-97-98-99-100 234.3244
98-99-100 157.40185
99-100 112.21657
