axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 58.19645
1-2-3-4-5-6-7-8-9-10 43.50502
1-2-3-4-5 30.97369
1-2-3 23.74831
1-2 19.57939
1 14.35663
100-99-98-97-96-94-95-93-91-92-90-89-87-88-85-86-82-84-77-80 820.17071
100-99-98-97-96-94-95-93-91-92-90-89-87-88-85 695.37599
100-99-98-97-96-94-95-93-91-92-90-89-87 634.60311
100-99-98-97-96-94-95-93-91 494.38002
100-99-98-97-96-95-94-93-91-92-89-90-83-84-85-86 716.19698
100-99-98-97-96-95-94-93-91-92-89-90 604.73539
100-99-98-97-96-95-94-93-91-92-89 567.15622
100-99-98-97-96-95-94-93 457.44513
100-99-98-97 266.37193
100 92.82311
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 828.7512
91-92-93-94-95-96-97-98-99-100 531.99268
96-97-98-99-100 319.05745
98-99-100 213.8307
99-100 157.47004
