axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 49.80046
1-2-3-4-5-6-7-8-9-10 35.49118
1-2-3-4-5 25.19182
1-2-3 19.31415
1-2 16.04906
1 12.48993
100 71.8683
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 737.94116
91-92-93-94-95-96-97-98-99-100 430.65622
96-97-98-99-100 239.66412
98-99-100 154.12455
99-100 110.64234
99-97-98-100-96-95-94-93-92-91-90-88-89 524.52974
99-97-98-100-96-95-94-93-92-91-90-88 496.47074
99-97-98-100-96-95-94-93-92-91-90 463.93297
99-97-98-100-96-95-94-93-92 398.8809
99-97-98-100-96-95-94 324.79184
