axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 55.49799
1-2-3-4-5-6-7-8-9-10 41.33653
1-2-3-4-5 29.45001
1-2-3 22.46173
1-2 18.71814
1 13.55368
100-99-98-97-95-96-93-89-94-90-91-79 556.57858
100-99-98-97-95-96-93-89-94-90 497.70077
100-99-98-97-95-96-93-89-94 461.12225
100-99-98-97-95-96-94-93-88-92-87 534.22889
100-99-98-97-95-96-94-93-88 460.71061
100-99-98-97-95-96-94-93-91-92-88-90-89-87-78-83-84-85-79-82 796.84114
100-99-98-97-95-96-94-93-91-92-88-90-89-87-78-83-84-85-79 773.63713
100-99-98-97-95-96-94-93-91-92-88-90 572.02822
100-99-98-97-95-96-94-93-91 462.66275
100-99-98-97-95-96-94 383.5665
100-99-98-97 250.00569
100 87.27055
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 809.86355
91-92-93-94-95-96-97-98-99-100 501.38906
96-97-98-99-100 297.17072
98-99-100 201.20834
99-100 148.25306
