axes threshold
1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20 53.35669
1-2-3-4-5-6-7-8-9-10 38.88386
1-2-3-4-5 28.3061
1-2-3 21.80256
1-2 17.73749
1 13.45861
100-99-97-98-96-93 324.91409
100-99-97 182.89389
100-99-98-97-96-95-92-93-94 447.05111
100-99-98-97-96-95-92-93 408.50125
100-99-98-97-96-95-94-93-92-91-90-88-89-83-85-84-86-81-82 757.63766
100-99-98-97-96-95-94-93-92-91-90-88-89-83-85-84-86 703.55723
100-99-98-97-96-95-94-93-92-91-90 522.8588
100-99-98-97-96-95-94-93 409.77138
100-99-98-97-96-95 327.29921
100 80.3772
81-82-83-84-85-86-87-88-89-90-91-92-93-94-95-96-97-98-99-100 788.95016
91-92-93-94-95-96-97-98-99-100 486.03002
96-97-98-99-100 283.38946
98-99-100 186.61429
99-100 134.09872
