method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
tpca 0.99 0.95 0 500 2.002 0.045 2 2
tpca 0.995 0.95 0 500 2.016 0.126 2 2
tpca 0.999 0.95 0 500 2.028 0.165 2 2
mix 0.03 0.95 0.25 500 1989.362 107.367 2000 2000
mix 0.1 0.95 0.25 500 1978.316 144.753 1795.975 2000
mix 0.3 0.95 0.25 500 1978.708 136.542 1750.775 2000
mix 1 0.95 0.25 500 1977.998 152.977 2000 2000
max_pca 1 0.95 0.25 500 85.78 29.583 39 81
max_pca 2 0.95 0.25 500 53.724 15.538 27 51
max_pca 3 0.95 0.25 500 45.13 12.12 24.475 43
max_pca 5 0.95 0.25 500 37.982 8.584 22 36
max_pca 10 0.95 0.25 500 32.618 6.009 21.475 32
max_pca 20 0.95 0.25 500 29.348 5.196 20 29
min_pca 1 0.95 0.25 500 2.014 0.118 2 2
min_pca 2 0.95 0.25 500 2.002 0.045 2 2
min_pca 3 0.95 0.25 500 2.002 0.045 2 2
min_pca 5 0.95 0.25 500 2.004 0.063 2 2
min_pca 10 0.95 0.25 500 2.042 0.201 2 2
min_pca 20 0.95 0.25 500 2.534 0.527 2 2
tpca 0.8 0.95 0.25 500 2.014 0.118 2 2
tpca 0.9 0.95 0.25 500 2.014 0.118 2 2
tpca 0.95 0.95 0.25 500 2.014 0.118 2 2
tpca 0.99 0.95 0.25 500 2.006 0.077 2 2
tpca 0.995 0.95 0.25 500 2.022 0.147 2 2
tpca 0.999 0.95 0.25 500 2.036 0.186 2 2
mix 0.03 0.95 0.5 500 1969.642 199.074 1675.3 2000
mix 0.1 0.95 0.5 500 1957.628 238.653 1369.675 2000
mix 0.3 0.95 0.5 500 1957.098 247.274 904.85 2000
mix 1 0.95 0.5 500 1956.212 245.126 1043.975 2000
max_pca 1 0.95 0.5 500 445.574 646.022 68.475 169.025
max_pca 2 0.95 0.5 500 107.534 42.384 44 101
max_pca 3 0.95 0.5 500 88.068 26.48 42.475 84
max_pca 5 0.95 0.5 500 71.772 19.756 39.475 68
max_pca 10 0.95 0.5 500 56.684 12.241 35.475 55
max_pca 20 0.95 0.5 500 45.028 9.1 29 44
min_pca 1 0.95 0.5 500 2.018 0.147 2 2
min_pca 2 0.95 0.5 500 2.008 0.089 2 2
min_pca 3 0.95 0.5 500 2.004 0.063 2 2
min_pca 5 0.95 0.5 500 2.012 0.109 2 2
min_pca 10 0.95 0.5 500 2.108 0.311 2 2
min_pca 20 0.95 0.5 500 2.952 0.441 2 3
tpca 0.8 0.95 0.5 500 2.018 0.147 2 2
tpca 0.9 0.95 0.5 500 2.018 0.147 2 2
tpca 0.95 0.95 0.5 500 2.018 0.147 2 2
tpca 0.99 0.95 0.5 500 2.01 0.1 2 2
tpca 0.995 0.95 0.5 500 2.026 0.159 2 2
tpca 0.999 0.95 0.5 500 2.074 0.262 2 2
mix 0.03 0.95 0.75 500 1950.276 241.66 920.875 2000
mix 0.1 0.95 0.75 500 1943.908 257.636 918.25 2000
mix 0.3 0.95 0.75 500 1920.33 314.504 694.85 2000
mix 1 0.95 0.75 500 1907.558 340.81 646.85 2000
