method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 3 0.95 0.7 500 466.452 690.507 69 155
max_pca 5 0.95 0.7 500 118.876 152.049 49 99
max_pca 10 0.95 0.7 500 56 17.283 27 53
max_pca 20 0.95 0.7 500 38.796 8.326 23.475 38
min_pca 1 0.95 0.7 500 2 0 2 2
min_pca 2 0.95 0.7 500 2 0 2 2
min_pca 3 0.95 0.7 500 2 0 2 2
min_pca 5 0.95 0.7 500 2 0 2 2
min_pca 10 0.95 0.7 500 2 0 2 2
min_pca 20 0.95 0.7 500 2 0 2 2
tpca 0.8 0.95 0.7 500 2 0 2 2
tpca 0.9 0.95 0.7 500 2 0 2 2
tpca 0.95 0.95 0.7 500 2 0 2 2
tpca 0.99 0.95 0.7 500 2 0 2 2
tpca 0.995 0.95 0.7 500 2 0 2 2
tpca 0.999 0.95 0.7 500 2 0 2 2
mix 0.03 0.95 1 500 3.434 0.546 3 3
mix 0.1 0.95 1 500 3.044 0.393 2 3
mix 0.3 0.95 1 500 2.874 0.398 2 3
mix 1 0.95 1 500 2.732 0.452 2 3
max_pca 1 0.95 1 500 1564.572 763.716 98.475 2000
max_pca 2 0.95 1 500 294.034 542.76 46 111.025
max_pca 3 0.95 1 500 168.368 328.797 40.95 98
max_pca 5 0.95 1 500 71.854 26.576 34 66
max_pca 10 0.95 1 500 34.808 9.716 19 33
max_pca 20 0.95 1 500 20.514 4.015 13 20
min_pca 1 0.95 1 500 2 0 2 2
min_pca 2 0.95 1 500 2 0 2 2
min_pca 3 0.95 1 500 2 0 2 2
min_pca 5 0.95 1 500 2 0 2 2
min_pca 10 0.95 1 500 2 0 2 2
min_pca 20 0.95 1 500 2 0 2 2
tpca 0.8 0.95 1 500 2 0 2 2
tpca 0.9 0.95 1 500 2 0 2 2
tpca 0.95 0.95 1 500 2 0 2 2
tpca 0.99 0.95 1 500 2 0 2 2
tpca 0.995 0.95 1 500 2 0 2 2
tpca 0.999 0.95 1 500 2 0 2 2
mix 0.03 0.95 1.3 500 2.816 0.388 2 3
mix 0.1 0.95 1.3 500 2.402 0.491 2 2
mix 0.3 0.95 1.3 500 2.142 0.349 2 2
mix 1 0.95 1.3 500 2.032 0.176 2 2
max_pca 1 0.95 1.3 500 1169.124 912.409 63.425 2000
max_pca 2 0.95 1.3 500 155.544 350.919 30.95 79.025
max_pca 3 0.95 1.3 500 97.12 194.683 29 70
max_pca 5 0.95 1.3 500 48.536 18.449 21.475 44
max_pca 10 0.95 1.3 500 23.072 6.97 12 22
max_pca 20 0.95 1.3 500 13.054 2.461 9 13
min_pca 1 0.95 1.3 500 2 0 2 2
min_pca 2 0.95 1.3 500 2 0 2 2
min_pca 3 0.95 1.3 500 2 0 2 2
min_pca 5 0.95 1.3 500 2 0 2 2
min_pca 10 0.95 1.3 500 2 0 2 2
min_pca 20 0.95 1.3 500 2 0 2 2
tpca 0.8 0.95 1.3 500 2 0 2 2
tpca 0.9 0.95 1.3 500 2 0 2 2
tpca 0.95 0.95 1.3 500 2 0 2 2
tpca 0.99 0.95 1.3 500 2 0 2 2
tpca 0.995 0.95 1.3 500 2 0 2 2
tpca 0.999 0.95 1.3 500 2 0 2 2
mix 0.03 0.9 0.5 500 8.784 1.882 5 9
mix 0.1 0.9 0.5 500 7.58 1.626 5 7
mix 0.3 0.9 0.5 500 6.904 1.473 4 7
mix 1 0.9 0.5 500 6.52 1.427 4 6
max_pca 1 0.9 0.5 500 1846.574 496.453 161.175 2000
max_pca 2 0.9 0.5 500 1098.746 912.61 89.375 368.175
max_pca 3 0.9 0.5 500 927.58 904.076 79.95 208.025
max_pca 5 0.9 0.5 500 284.042 495.766 66.475 136
max_pca 10 0.9 0.5 500 83.328 26.682 41 78
max_pca 20 0.9 0.5 500 70.196 16.109 42.475 67
min_pca 1 0.9 0.5 500 2 0 2 2
min_pca 2 0.9 0.5 500 2 0 2 2
min_pca 3 0.9 0.5 500 2 0 2 2
min_pca 5 0.9 0.5 500 2 0 2 2
min_pca 10 0.9 0.5 500 2 0 2 2
min_pca 20 0.9 0.5 500 2.006 0.077 2 2
tpca 0.8 0.9 0.5 500 2 0 2 2
tpca 0.9 0.9 0.5 500 2 0 2 2
tpca 0.95 0.9 0.5 500 2 0 2 2
tpca 0.99 0.9 0.5 500 2 0 2 2
tpca 0.995 0.9 0.5 500 2 0 2 2
tpca 0.999 0.9 0.5 500 2 0 2 2
mix 0.03 0.9 0.7 500 5.398 1.017 4 5
mix 0.1 0.9 0.7 500 4.686 0.825 3 5
mix 0.3 0.9 0.7 500 4.286 0.781 3 4
mix 1 0.9 0.7 500 4.016 0.73 3 4
max_pca 1 0.9 0.7 500 1712.004 653.762 115.95 2000
max_pca 2 0.9 0.7 500 742.668 862.261 59.475 172
max_pca 3 0.9 0.7 500 562.998 776.362 56 152
max_pca 5 0.9 0.7 500 176.054 355.046 46.475 102.025
max_pca 10 0.9 0.7 500 57.482 18.113 30.475 53
max_pca 20 0.9 0.7 500 40.016 9.438 24 39
min_pca 1 0.9 0.7 500 2 0 2 2
min_pca 2 0.9 0.7 500 2 0 2 2
min_pca 3 0.9 0.7 500 2 0 2 2
min_pca 5 0.9 0.7 500 2 0 2 2
min_pca 10 0.9 0.7 500 2 0 2 2
min_pca 20 0.9 0.7 500 2 0 2 2
tpca 0.8 0.9 0.7 500 2 0 2 2
tpca 0.9 0.9 0.7 500 2 0 2 2
tpca 0.95 0.9 0.7 500 2 0 2 2
tpca 0.99 0.9 0.7 500 2 0 2 2
tpca 0.995 0.9 0.7 500 2 0 2 2
tpca 0.999 0.9 0.7 500 2 0 2 2
mix 0.03 0.9 1 500 3.486 0.543 3 3
mix 0.1 0.9 1 500 3.096 0.399 2 3
mix 0.3 0.9 1 500 2.906 0.365 2 3
mix 1 0.9 1 500 2.794 0.415 2 3
max_pca 1 0.9 1 500 1466.426 832.826 79 2000
max_pca 2 0.9 1 500 421.946 692.761 46 107.025
max_pca 3 0.9 1 500 256.278 510.712 41 94
max_pca 5 0.9 1 500 82.91 127.208 30 65.025
max_pca 10 0.9 1 500 36.174 12.37 18 33
max_pca 20 0.9 1 500 21.918 4.846 14 21
min_pca 1 0.9 1 500 2 0 2 2
min_pca 2 0.9 1 500 2 0 2 2
min_pca 3 0.9 1 500 2 0 2 2
min_pca 5 0.9 1 500 2 0 2 2
min_pca 10 0.9 1 500 2 0 2 2
min_pca 20 0.9 1 500 2 0 2 2
tpca 0.8 0.9 1 500 2 0 2 2
tpca 0.9 0.9 1 500 2 0 2 2
tpca 0.95 0.9 1 500 2 0 2 2
tpca 0.99 0.9 1 500 2 0 2 2
tpca 0.995 0.9 1 500 2 0 2 2
tpca 0.999 0.9 1 500 2 0 2 2
mix 0.03 0.9 1.3 500 2.862 0.345 2 3
mix 0.1 0.9 1.3 500 2.47 0.5 2 2
mix 0.3 0.9 1.3 500 2.188 0.391 2 2
mix 1 0.9 1.3 500 2.068 0.252 2 2
max_pca 1 0.9 1.3 500 1310.972 890.836 57.475 2000
max_pca 2 0.9 1.3 500 247.128 519.63 31.95 85
max_pca 3 0.9 1.3 500 152.538 359.601 27 74.025
max_pca 5 0.9 1.3 500 53.054 25.436 22 46
max_pca 10 0.9 1.3 500 24.456 8.499 13 23
max_pca 20 0.9 1.3 500 13.878 3.201 9 13
min_pca 1 0.9 1.3 500 2 0 2 2
min_pca 2 0.9 1.3 500 2 0 2 2
