method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.05 0.5 500 1967.158 238.225 2000 2000
max_pca 2 0.05 0.5 500 1792.378 579.63 137 2000
max_pca 3 0.05 0.5 500 756.528 854.619 102.475 188.025
max_pca 5 0.05 0.5 500 117.474 23.618 75 114.025
max_pca 10 0.05 0.5 500 89.91 14.591 61.95 88
max_pca 20 0.05 0.5 500 69.518 9.804 50 69
min_pca 1 0.05 0.5 500 245.076 586.635 9.475 41
min_pca 2 0.05 0.5 500 153.132 398.397 21.475 57
min_pca 3 0.05 0.5 500 99.212 194.214 35 71
min_pca 5 0.05 0.5 500 93.88 28.862 54 88
min_pca 10 0.05 0.5 500 102.31 18.701 71 99
min_pca 20 0.05 0.5 500 115.276 15.683 89 112
tpca 0.8 0.05 0.5 500 99.212 194.214 35 71
tpca 0.9 0.05 0.5 500 93.11 23.785 55.475 89
tpca 0.95 0.05 0.5 500 100.516 18.952 68.475 97
tpca 0.99 0.05 0.5 500 115.27 16.39 87 112.025
tpca 0.995 0.05 0.5 500 115.27 16.39 87 112.025
tpca 0.999 0.05 0.5 500 115.27 16.39 87 112.025
max_pca 1 0.05 0.75 500 1979.502 180.221 2000 2000
max_pca 2 0.05 0.75 500 1913.412 386.122 193.95 2000
max_pca 3 0.05 0.75 500 929.506 897.9 109.475 201
max_pca 5 0.05 0.75 500 120.034 26.283 74.475 117
max_pca 10 0.05 0.75 500 91.41 14.448 62 90
max_pca 20 0.05 0.75 500 70.626 10.026 53 69
min_pca 1 0.05 0.75 500 449.15 757.789 21.475 81
min_pca 2 0.05 0.75 500 427.772 713.197 44.475 107.025
min_pca 3 0.05 0.75 500 221.526 442.898 60.475 108
min_pca 5 0.05 0.75 500 143.614 206.58 76.475 117
min_pca 10 0.05 0.75 500 120.742 17.077 91.475 118
min_pca 20 0.05 0.75 500 129.67 13.872 106 128
tpca 0.8 0.05 0.75 500 221.526 442.898 60.475 108
tpca 0.9 0.05 0.75 500 121.198 87.29 78.475 113.025
tpca 0.95 0.05 0.75 500 118.85 16.737 90 117
tpca 0.99 0.05 0.75 500 130.32 14.286 106 128
tpca 0.995 0.05 0.75 500 130.32 14.286 106 128
tpca 0.999 0.05 0.75 500 130.32 14.286 106 128
max_pca 1 0.02 0 500 1979.102 178.554 2000 2000
max_pca 2 0.02 0 500 1905.332 404.863 173.075 2000
max_pca 3 0.02 0 500 979.234 902.889 114.95 207
max_pca 5 0.02 0 500 120.636 26.482 80 117
max_pca 10 0.02 0 500 91.796 14.153 62.475 90
