method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
tpca 0.995 0.95 0.5 500 99.902 408.954 2 4
tpca 0.999 0.95 0.5 500 70.422 317.476 2 7
mix 0.03 0.95 0.75 500 15.486 3.362 10 15
mix 0.1 0.95 0.75 500 12.546 2.645 8 12
mix 0.3 0.95 0.75 500 11.044 2.384 7 11
mix 1 0.95 0.75 500 10.112 2.224 6 10
max_pca 1 0.95 0.75 500 149.058 196.377 53 122
max_pca 2 0.95 0.75 500 75.48 24.106 33 72.025
max_pca 3 0.95 0.75 500 60.678 17.059 31.95 58
max_pca 5 0.95 0.75 500 44.964 10.762 27 43.025
max_pca 10 0.95 0.75 500 31.262 6.089 20 30
max_pca 20 0.95 0.75 500 19.884 3.202 14 20
min_pca 1 0.95 0.75 500 183.036 558.214 2 6
min_pca 2 0.95 0.75 500 199.474 574.103 3 10
min_pca 3 0.95 0.75 500 228.906 604.638 3 13
min_pca 5 0.95 0.75 500 296.564 671.518 5 21
min_pca 10 0.95 0.75 500 631.978 884.577 14 69
min_pca 20 0.95 0.75 500 1454.514 850.519 70.475 2000
tpca 0.8 0.95 0.75 500 183.036 558.214 2 6
tpca 0.9 0.95 0.75 500 183.036 558.214 2 6
tpca 0.95 0.95 0.75 500 183.036 558.214 2 6
tpca 0.99 0.95 0.75 500 183.036 558.214 2 6
tpca 0.995 0.95 0.75 500 192.924 562.493 3 10
tpca 0.999 0.95 0.75 500 238.726 607.905 5 19
mix 0.03 0.95 1.5 500 5.034 1.093 3 5
mix 0.1 0.95 1.5 500 4.586 0.964 3 4
mix 0.3 0.95 1.5 500 4.422 0.937 3 4
mix 1 0.95 1.5 500 4.342 0.933 3 4
max_pca 1 0.95 1.5 500 1722.29 652.411 113.325 2000
max_pca 2 0.95 1.5 500 1127.384 918.198 66.425 716.9
max_pca 3 0.95 1.5 500 592.072 794.039 51.475 158
max_pca 5 0.95 1.5 500 189.94 353.831 49 111.025
max_pca 10 0.95 1.5 500 87.41 28.467 43.475 81.025
max_pca 20 0.95 1.5 500 60.022 16.067 33 58
min_pca 1 0.95 1.5 500 7.682 15.595 2 3
min_pca 2 0.95 1.5 500 7.446 11.118 2 4
min_pca 3 0.95 1.5 500 7.896 10.002 2 4
min_pca 5 0.95 1.5 500 8.28 7.589 2 5
min_pca 10 0.95 1.5 500 11.448 7.327 4 9
min_pca 20 0.95 1.5 500 14.62 5.33 7 13
tpca 0.8 0.95 1.5 500 7.682 15.595 2 3
tpca 0.9 0.95 1.5 500 7.682 15.595 2 3
tpca 0.95 0.95 1.5 500 7.682 15.595 2 3
tpca 0.99 0.95 1.5 500 7.682 15.595 2 3
tpca 0.995 0.95 1.5 500 7.362 10.206 2 4
tpca 0.999 0.95 1.5 500 7.538 6.353 2 5
mix 0.03 0.95 2 500 2.41 0.496 2 2
mix 0.1 0.95 2 500 2.254 0.436 2 2
mix 0.3 0.95 2 500 2.204 0.403 2 2
mix 1 0.95 2 500 2.188 0.391 2 2
max_pca 1 0.95 2 500 48.366 24.885 13 41.025
max_pca 2 0.95 2 500 29.142 12.845 10 26
max_pca 3 0.95 2 500 22.914 9.186 10 21
max_pca 5 0.95 2 500 17.196 5.94 8 16
max_pca 10 0.95 2 500 13.09 3.59 7 13
max_pca 20 0.95 2 500 9.508 2.285 6 9
min_pca 1 0.95 2 500 3.638 4.11 2 2
min_pca 2 0.95 2 500 3.578 3.255 2 2
min_pca 3 0.95 2 500 3.798 3.212 2 3
min_pca 5 0.95 2 500 3.93 2.421 2 3
min_pca 10 0.95 2 500 5.05 2.497 2 4
min_pca 20 0.95 2 500 6.274 2.078 3 6
tpca 0.8 0.95 2 500 3.638 4.11 2 2
tpca 0.9 0.95 2 500 3.638 4.11 2 2
tpca 0.95 0.95 2 500 3.638 4.11 2 2
tpca 0.99 0.95 2 500 3.638 4.11 2 2
tpca 0.995 0.95 2 500 3.72 3.324 2 2.025
tpca 0.999 0.95 2 500 3.786 2.187 2 3
mix 0.03 0.9 0.5 500 5.12 0.703 4 5
mix 0.1 0.9 0.5 500 4.298 0.608 3 4
mix 0.3 0.9 0.5 500 3.824 0.581 3 4
mix 1 0.9 0.5 500 3.462 0.57 3 3
max_pca 1 0.9 0.5 500 44.516 13.787 23 42
max_pca 2 0.9 0.5 500 27.506 7.057 16 27
max_pca 3 0.9 0.5 500 22.422 5.132 13 22
max_pca 5 0.9 0.5 500 17.374 3.47 11 17
max_pca 10 0.9 0.5 500 12.836 2.098 9 13
max_pca 20 0.9 0.5 500 8.79 1.228 7 9
min_pca 1 0.9 0.5 500 10.928 126.215 2 2
min_pca 2 0.9 0.5 500 11.466 126.18 2 3
min_pca 3 0.9 0.5 500 12.012 126.163 2 3
min_pca 5 0.9 0.5 500 13.31 126.133 2 4
min_pca 10 0.9 0.5 500 19.49 126.486 4 8
min_pca 20 0.9 0.5 500 89.288 325.761 11 25.025
tpca 0.8 0.9 0.5 500 10.928 126.215 2 2
tpca 0.9 0.9 0.5 500 10.928 126.215 2 2
tpca 0.95 0.9 0.5 500 10.928 126.215 2 2
tpca 0.99 0.9 0.5 500 10.928 126.215 2 2
tpca 0.995 0.9 0.5 500 7.816 89.627 2 3
tpca 0.999 0.9 0.5 500 12.984 126.128 2 4
mix 0.03 0.9 0.75 500 16.278 3.335 11 16
mix 0.1 0.9 0.75 500 13.35 2.742 8 13
mix 0.3 0.9 0.75 500 11.796 2.561 7 12
mix 1 0.9 0.75 500 10.812 2.449 7 11
