method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
max_pca 1 0.95 0.7 500 1899.936 403.089 171.95 2000
max_pca 2 0.95 0.7 500 1847.8 496.244 144.425 2000
max_pca 3 0.95 0.7 500 1819.89 542.184 140.375 2000
max_pca 5 0.95 0.7 500 238.492 456.222 50 115.025
max_pca 10 0.95 0.7 500 41.466 10.015 24 40
max_pca 20 0.95 0.7 500 21.576 4.058 14 21
min_pca 1 0.95 0.7 500 6.272 89.435 2 2
min_pca 2 0.95 0.7 500 2 0 2 2
min_pca 3 0.95 0.7 500 2 0 2 2
min_pca 5 0.95 0.7 500 2 0 2 2
min_pca 10 0.95 0.7 500 2.066 0.256 2 2
min_pca 20 0.95 0.7 500 3.068 0.405 2 3
tpca 0.8 0.95 0.7 500 2 0 2 2
tpca 0.9 0.95 0.7 500 2 0 2 2
tpca 0.95 0.95 0.7 500 2 0 2 2
tpca 0.99 0.95 0.7 500 2 0 2 2
tpca 0.995 0.95 0.7 500 2.006 0.077 2 2
tpca 0.999 0.95 0.7 500 2.064 0.253 2 2
mix 0.03 0.95 1 500 3.404 0.515 3 3
mix 0.1 0.95 1 500 3.05 0.352 2 3
mix 0.3 0.95 1 500 2.872 0.385 2 3
mix 1 0.95 1 500 2.694 0.47 2 3
max_pca 1 0.95 1 500 1376.658 864.111 82.475 2000
max_pca 2 0.95 1 500 1214.258 907.532 81 2000
max_pca 3 0.95 1 500 1079.402 919.499 77.95 335.4
max_pca 5 0.95 1 500 65.39 28.539 31 58.025
max_pca 10 0.95 1 500 22.83 5.055 15 22
max_pca 20 0.95 1 500 12.422 2.294 8 12
min_pca 1 0.95 1 500 6.836 89.961 2 2
min_pca 2 0.95 1 500 2 0 2 2
min_pca 3 0.95 1 500 2 0 2 2
min_pca 5 0.95 1 500 2 0 2 2
min_pca 10 0.95 1 500 2.004 0.063 2 2
min_pca 20 0.95 1 500 2.234 0.433 2 2
tpca 0.8 0.95 1 500 2 0 2 2
tpca 0.9 0.95 1 500 2 0 2 2
tpca 0.95 0.95 1 500 2 0 2 2
tpca 0.99 0.95 1 500 2 0 2 2
tpca 0.995 0.95 1 500 2 0 2 2
tpca 0.999 0.95 1 500 2.006 0.077 2 2
mix 0.03 0.95 1.3 500 2.8 0.4 2 3
mix 0.1 0.95 1.3 500 2.378 0.485 2 2
mix 0.3 0.95 1.3 500 2.094 0.292 2 2
mix 1 0.95 1.3 500 2.024 0.153 2 2
max_pca 1 0.95 1.3 500 802.036 894.291 42.475 163.025
max_pca 2 0.95 1.3 500 509.158 757.93 45.475 132
max_pca 3 0.95 1.3 500 436.052 700.981 48 122.05
max_pca 5 0.95 1.3 500 38.306 13.037 20 35
max_pca 10 0.95 1.3 500 14.91 3.176 10 15
max_pca 20 0.95 1.3 500 8.232 1.338 6 8
min_pca 1 0.95 1.3 500 2.05 0.746 2 2
min_pca 2 0.95 1.3 500 2 0 2 2
min_pca 3 0.95 1.3 500 2 0 2 2
min_pca 5 0.95 1.3 500 2 0 2 2
min_pca 10 0.95 1.3 500 2 0 2 2
min_pca 20 0.95 1.3 500 2.034 0.181 2 2
tpca 0.8 0.95 1.3 500 2 0 2 2
tpca 0.9 0.95 1.3 500 2 0 2 2
tpca 0.95 0.95 1.3 500 2 0 2 2
tpca 0.99 0.95 1.3 500 2 0 2 2
tpca 0.995 0.95 1.3 500 2 0 2 2
tpca 0.999 0.95 1.3 500 2 0 2 2
mix 0.03 0.9 0.5 500 8.566 1.75 5 8
mix 0.1 0.9 0.5 500 7.296 1.509 5 7
mix 0.3 0.9 0.5 500 6.642 1.389 4 7
mix 1 0.9 0.5 500 6.34 1.349 4 6
max_pca 1 0.9 0.5 500 1979.674 180.142 2000 2000
max_pca 2 0.9 0.5 500 1971.416 226.023 2000 2000
max_pca 3 0.9 0.5 500 1959.806 268.32 2000 2000
max_pca 5 0.9 0.5 500 1073.284 914.015 88.475 286.1
max_pca 10 0.9 0.5 500 73.542 19.473 42.475 69
max_pca 20 0.9 0.5 500 36.62 7.898 23 35
min_pca 1 0.9 0.5 500 22.82 199.003 2 2
min_pca 2 0.9 0.5 500 2.002 0.045 2 2
min_pca 3 0.9 0.5 500 2.014 0.118 2 2
min_pca 5 0.9 0.5 500 2.05 0.227 2 2
min_pca 10 0.9 0.5 500 2.53 0.689 2 2
min_pca 20 0.9 0.5 500 4.078 1.183 3 4
tpca 0.8 0.9 0.5 500 2.002 0.045 2 2
tpca 0.9 0.9 0.5 500 2.014 0.118 2 2
tpca 0.95 0.9 0.5 500 2.026 0.159 2 2
tpca 0.99 0.9 0.5 500 2.05 0.227 2 2
tpca 0.995 0.9 0.5 500 2.122 0.362 2 2
tpca 0.999 0.9 0.5 500 2.53 0.686 2 2
mix 0.03 0.9 0.7 500 5.33 0.946 4 5
mix 0.1 0.9 0.7 500 4.672 0.833 3 5
mix 0.3 0.9 0.7 500 4.268 0.741 3 4
mix 1 0.9 0.7 500 4.072 0.701 3 4
max_pca 1 0.9 0.7 500 1872.154 459.098 162 2000
max_pca 2 0.9 0.7 500 1799.878 567.529 145.425 2000
max_pca 3 0.9 0.7 500 1718.57 656.554 127.375 2000
max_pca 5 0.9 0.7 500 274.528 511.605 55.475 121
max_pca 10 0.9 0.7 500 44.878 11.839 25 43
max_pca 20 0.9 0.7 500 22.914 4.889 15 22
min_pca 1 0.9 0.7 500 3.296 12.09 2 2
min_pca 2 0.9 0.7 500 2 0 2 2
min_pca 3 0.9 0.7 500 2 0 2 2
min_pca 5 0.9 0.7 500 2.01 0.1 2 2
min_pca 10 0.9 0.7 500 2.134 0.375 2 2
min_pca 20 0.9 0.7 500 3.154 0.579 2 3
tpca 0.8 0.9 0.7 500 2 0 2 2
tpca 0.9 0.9 0.7 500 2 0 2 2
tpca 0.95 0.9 0.7 500 2.006 0.077 2 2
tpca 0.99 0.9 0.7 500 2.01 0.1 2 2
tpca 0.995 0.9 0.7 500 2.024 0.153 2 2
tpca 0.999 0.9 0.7 500 2.132 0.373 2 2
mix 0.03 0.9 1 500 3.516 0.531 3 3
mix 0.1 0.9 1 500 3.134 0.39 3 3
mix 0.3 0.9 1 500 2.914 0.378 2 3
mix 1 0.9 1 500 2.79 0.422 2 3
